"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.871,556,97.921,89.189
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.848,409,99.584,85.239
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.762,182,88.189,88
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.792,167,96.094,83.065
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.824,227,99.213,83.2
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.81,15,95.238,85.714
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.863,525,99.219,87.097
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.8,106,99.213,80.8
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.81,399,96.032,84.921
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.728,20,97.638,75.2
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.769,651.5,92.913,84
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.778,66,98.413,79.365
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.866,357,100,86.614
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.794,131,96.825,82.54
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.824,369,98.425,84
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.84,576,95.312,88.71
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.745,510,93.701,80.8
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.781,555,96.923,81.148
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.768,561,95.312,81.452
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.762,393,97.619,78.571
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.774,293,99.219,78.226
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.793,631,96.85,82.4
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.838,520,98.129,85.447
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.809,521.5,97.713,83.16
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.825,345,96.85,85.6
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.815,312,97.656,83.871
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.84,471,100,84
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.825,561,96.032,86.508
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.847,556,99.219,85.484
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.808,454,99.213,81.6
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.825,269,97.619,84.921
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.744,458,98.425,76
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.777,586,95.276,82.4
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.786,456.5,99.206,79.365
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.85,671,95.2,89.764
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.841,393,99.206,84.921
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.825,650,95.276,87.2
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.863,427,98.438,87.903
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.816,433,98.425,83.2
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.79,718,95.385,83.607
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.831,699,99.219,83.871
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.77,484,96.825,80.159
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.784,641.5,94.531,83.871
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.777,621,96.85,80.8
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.842,149,96.466,87.734
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.817,260,97.089,84.615
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.817,179,94.488,87.2
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.816,239,96.094,85.484
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.817,361,95.276,86.4
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.841,169,96.825,86.508
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.808,327,95.312,85.484
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.809,209,96.85,84
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.722,59.5,92.063,79.365
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.76,183,97.638,78.4
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.721,109,96.063,76
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.77,79,97.619,79.365
