"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.984,869,100,98.438
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.604,45.5,63.333,97.115
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.636,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.692,0,100,0
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.824,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.369,0,100,0
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.892,495,93.388,95.854
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.939,30,100,93.91
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.968,787,100,96.715
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.918,495,96.667,95.112
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.965,636,100,96.474
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.845,495,90,94.471
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.942,120,97.521,96.655
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.891,55,93.333,95.753
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.942,10,100,93.99
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.914,10,96.667,94.391
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.728,0,100,0
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.928,70,96.667,96.154
