"rand1.SPHYRNA.LEWINI_PA1_RUN1_GAM","rand2.SPHYRNA.LEWINI_PA1_RUN1_GAM","rand3.SPHYRNA.LEWINI_PA1_RUN1_GAM","rand4.SPHYRNA.LEWINI_PA1_RUN1_GAM","rand5.SPHYRNA.LEWINI_PA1_RUN1_GAM","rand1.SPHYRNA.LEWINI_PA1_RUN1_GLM","rand2.SPHYRNA.LEWINI_PA1_RUN1_GLM","rand3.SPHYRNA.LEWINI_PA1_RUN1_GLM","rand4.SPHYRNA.LEWINI_PA1_RUN1_GLM","rand5.SPHYRNA.LEWINI_PA1_RUN1_GLM","rand1.SPHYRNA.LEWINI_PA1_RUN1_MAXENT.Phillips","rand2.SPHYRNA.LEWINI_PA1_RUN1_MAXENT.Phillips","rand3.SPHYRNA.LEWINI_PA1_RUN1_MAXENT.Phillips","rand4.SPHYRNA.LEWINI_PA1_RUN1_MAXENT.Phillips","rand5.SPHYRNA.LEWINI_PA1_RUN1_MAXENT.Phillips","rand1.SPHYRNA.LEWINI_PA1_RUN2_GAM","rand2.SPHYRNA.LEWINI_PA1_RUN2_GAM","rand3.SPHYRNA.LEWINI_PA1_RUN2_GAM","rand4.SPHYRNA.LEWINI_PA1_RUN2_GAM","rand5.SPHYRNA.LEWINI_PA1_RUN2_GAM","rand1.SPHYRNA.LEWINI_PA1_RUN2_GLM","rand2.SPHYRNA.LEWINI_PA1_RUN2_GLM","rand3.SPHYRNA.LEWINI_PA1_RUN2_GLM","rand4.SPHYRNA.LEWINI_PA1_RUN2_GLM","rand5.SPHYRNA.LEWINI_PA1_RUN2_GLM","rand1.SPHYRNA.LEWINI_PA1_RUN2_MAXENT.Phillips","rand2.SPHYRNA.LEWINI_PA1_RUN2_MAXENT.Phillips","rand3.SPHYRNA.LEWINI_PA1_RUN2_MAXENT.Phillips","rand4.SPHYRNA.LEWINI_PA1_RUN2_MAXENT.Phillips","rand5.SPHYRNA.LEWINI_PA1_RUN2_MAXENT.Phillips","rand1.SPHYRNA.LEWINI_PA1_RUN3_GAM","rand2.SPHYRNA.LEWINI_PA1_RUN3_GAM","rand3.SPHYRNA.LEWINI_PA1_RUN3_GAM","rand4.SPHYRNA.LEWINI_PA1_RUN3_GAM","rand5.SPHYRNA.LEWINI_PA1_RUN3_GAM","rand1.SPHYRNA.LEWINI_PA1_RUN3_GLM","rand2.SPHYRNA.LEWINI_PA1_RUN3_GLM","rand3.SPHYRNA.LEWINI_PA1_RUN3_GLM","rand4.SPHYRNA.LEWINI_PA1_RUN3_GLM","rand5.SPHYRNA.LEWINI_PA1_RUN3_GLM","rand1.SPHYRNA.LEWINI_PA1_RUN3_MAXENT.Phillips","rand2.SPHYRNA.LEWINI_PA1_RUN3_MAXENT.Phillips","rand3.SPHYRNA.LEWINI_PA1_RUN3_MAXENT.Phillips","rand4.SPHYRNA.LEWINI_PA1_RUN3_MAXENT.Phillips","rand5.SPHYRNA.LEWINI_PA1_RUN3_MAXENT.Phillips","rand1.SPHYRNA.LEWINI_PA1_RUN4_GAM","rand2.SPHYRNA.LEWINI_PA1_RUN4_GAM","rand3.SPHYRNA.LEWINI_PA1_RUN4_GAM","rand4.SPHYRNA.LEWINI_PA1_RUN4_GAM","rand5.SPHYRNA.LEWINI_PA1_RUN4_GAM","rand1.SPHYRNA.LEWINI_PA1_RUN4_GLM","rand2.SPHYRNA.LEWINI_PA1_RUN4_GLM","rand3.SPHYRNA.LEWINI_PA1_RUN4_GLM","rand4.SPHYRNA.LEWINI_PA1_RUN4_GLM","rand5.SPHYRNA.LEWINI_PA1_RUN4_GLM","rand1.SPHYRNA.LEWINI_PA1_RUN4_MAXENT.Phillips","rand2.SPHYRNA.LEWINI_PA1_RUN4_MAXENT.Phillips","rand3.SPHYRNA.LEWINI_PA1_RUN4_MAXENT.Phillips","rand4.SPHYRNA.LEWINI_PA1_RUN4_MAXENT.Phillips","rand5.SPHYRNA.LEWINI_PA1_RUN4_MAXENT.Phillips","rand1.SPHYRNA.LEWINI_PA1_RUN5_GAM","rand2.SPHYRNA.LEWINI_PA1_RUN5_GAM","rand3.SPHYRNA.LEWINI_PA1_RUN5_GAM","rand4.SPHYRNA.LEWINI_PA1_RUN5_GAM","rand5.SPHYRNA.LEWINI_PA1_RUN5_GAM","rand1.SPHYRNA.LEWINI_PA1_RUN5_GLM","rand2.SPHYRNA.LEWINI_PA1_RUN5_GLM","rand3.SPHYRNA.LEWINI_PA1_RUN5_GLM","rand4.SPHYRNA.LEWINI_PA1_RUN5_GLM","rand5.SPHYRNA.LEWINI_PA1_RUN5_GLM","rand1.SPHYRNA.LEWINI_PA1_RUN5_MAXENT.Phillips","rand2.SPHYRNA.LEWINI_PA1_RUN5_MAXENT.Phillips","rand3.SPHYRNA.LEWINI_PA1_RUN5_MAXENT.Phillips","rand4.SPHYRNA.LEWINI_PA1_RUN5_MAXENT.Phillips","rand5.SPHYRNA.LEWINI_PA1_RUN5_MAXENT.Phillips","rand1.SPHYRNA.LEWINI_PA1_Full_GAM","rand2.SPHYRNA.LEWINI_PA1_Full_GAM","rand3.SPHYRNA.LEWINI_PA1_Full_GAM","rand4.SPHYRNA.LEWINI_PA1_Full_GAM","rand5.SPHYRNA.LEWINI_PA1_Full_GAM","rand1.SPHYRNA.LEWINI_PA1_Full_GLM","rand2.SPHYRNA.LEWINI_PA1_Full_GLM","rand3.SPHYRNA.LEWINI_PA1_Full_GLM","rand4.SPHYRNA.LEWINI_PA1_Full_GLM","rand5.SPHYRNA.LEWINI_PA1_Full_GLM","rand1.SPHYRNA.LEWINI_PA1_Full_MAXENT.Phillips","rand2.SPHYRNA.LEWINI_PA1_Full_MAXENT.Phillips","rand3.SPHYRNA.LEWINI_PA1_Full_MAXENT.Phillips","rand4.SPHYRNA.LEWINI_PA1_Full_MAXENT.Phillips","rand5.SPHYRNA.LEWINI_PA1_Full_MAXENT.Phillips"
0.653295,0.705562,0.643874,0.677373,0.686128,0.586289,0.573903,0.548357,0.576703,0.615216,0.601407,0.644936,0.59015,0.577725,0.585084,0.859175,0.857166,0.855946,0.919645,0.80599,0.634083,0.64236,0.64617,0.584075,0.596446,0.549686,0.542365,0.524275,0.513935,0.575815,0.626005,0.719374,0.726544,0.792186,0.662478,0.492848,0.425957,0.478281,0.487109,0.525461,0.624729,0.627904,0.625632,0.621652,0.655445,0.68981,0.641892,0.637307,0.711298,0.577873,0.54028,0.612704,0.574572,0.536883,0.614881,0.473743,0.416486,0.481529,0.52705,0.510148,0.92171,0.927179,0.893886,0.86035,0.942515,0.540146,0.567882,0.561652,0.542613,0.531235,0.554198,0.518216,0.533895,0.559662,0.584087,0.663175,0.706289,0.636044,0.635376,0.694938,0.528374,0.488438,0.539245,0.482542,0.518884,0.519398,0.498953,0.571833,0.564229,0.553745
0.501441,0.483726,0.488115,0.49719,0.483761,0,0,0,0,0,0.057277,0.055223,0.058245,0.057725,0.04634,0.564188,0.528732,0.535018,0.564605,0.592766,0.189917,0.198739,0.193331,0.204287,0.185948,0.027133,0.023517,0.023831,0.021853,0.021207,0.70626,0.692023,0.726078,0.712942,0.734815,0.443204,0.423976,0.428628,0.461055,0.454253,0.02888,0.031152,0.023718,0.027595,0.029044,0.468405,0.470925,0.447845,0.487279,0.495359,0,0,0,0,0,0.447616,0.438969,0.458631,0.431468,0.456087,0.756478,0.755835,0.72321,0.779805,0.773274,0.498211,0.492856,0.485272,0.484788,0.483051,0.01381,0.010778,0.00737600000000005,0.010143,0.009737,0.465065,0.458916,0.405064,0.418742,0.420628,0,0,0,0,0,0.02704,0.0276690000000001,0.026079,0.0248390000000001,0.025517
0.733546,0.738426,0.715823,0.708015,0.719196,0.244062,0.251037,0.254892,0.252343,0.24088,0.00278100000000003,0.00253499999999995,0.00248800000000005,0.00287999999999999,0.00312100000000004,0.986092,0.983082,0.995511,1,0.992635,0.381564,0.404155,0.40447,0.364368,0.373781,0.00838000000000005,0.00726599999999999,0.00762799999999997,0.010036,0.00780800000000004,0.934295,0.945273,0.92324,0.923426,0.910909,0.680654,0.693742,0.684912,0.665965,0.661295,0.00788500000000003,0.00621099999999997,0.00694300000000003,0.00607599999999997,0.00798399999999999,0.800991,0.804398,0.816333,0.797533,0.827868,0.404007,0.388855,0.409341,0.409591,0.40239,0.97636,0.980175,0.981625,0.950218,0.982389,0.867332,0.860782,0.859537,0.836931,0.842678,0.421031,0.398076,0.409058,0.421526,0.41663,0.041579,0.047833,0.040771,0.0451279999999999,0.041488,0.787616,0.824344,0.805871,0.791871,0.779586,0.575644,0.55838,0.556105,0.579387,0.578455,0.000229000000000035,0.000110999999999972,0.000172999999999979,0.000121000000000038,0.000121000000000038
0.806331,0.820903,0.822819,0.785231,0.797311,0,0,0,0,0,0.252179,0.252984,0.28768,0.283043,0.270903,0.890409,0.861105,0.876695,0.883569,0.870116,0.161864,0.139315,0.14793,0.133102,0.147083,1.99999999994649e-06,1.00000000002876e-06,1.00000000002876e-06,1.99999999994649e-06,1.99999999994649e-06,0.816776,0.841025,0.825507,0.837614,0.858635,0.078363,0.109542,0.098212,0.105715,0.0986590000000001,0.00407299999999999,0.00357200000000002,0.00343099999999996,0.00376699999999996,0.00338499999999997,0.785997,0.797602,0.824588,0.812029,0.81069,0.388402,0.383968,0.383444,0.389029,0.376293,0.261127,0.246616,0.274883,0.255128,0.228424,0.77157,0.765986,0.747777,0.757693,0.747138,0,0,0,0,0,0.000404999999999989,0.000381999999999993,0.000457999999999958,0.000376000000000043,0.000327999999999995,0.66695,0.666739,0.648021,0.673044,0.69,0.46225,0.468204,0.502186,0.488377,0.497476,0,0,0,0,0
0.833287,0.792394,0.862717,0.812201,0.822538,0.768728,0.777269,0.747661,0.757984,0.723803,0.742541,0.719974,0.744522,0.725497,0.720803,0.797285,0.736893,0.773628,0.783337,0.811682,0.762735,0.71839,0.802409,0.735232,0.718449,0.785118,0.745159,0.772988,0.762132,0.730357,0.93735,0.954623,0.929014,0.877252,0.932854,0.636208,0.624558,0.649901,0.623483,0.643867,0.720715,0.754888,0.769449,0.737931,0.739408,0.895622,0.89998,0.839974,0.805668,0.838779,0.691794,0.72168,0.664789,0.714769,0.682964,0.73703,0.682029,0.687144,0.738266,0.726171,0.766695,0.777424,0.805751,0.769598,0.776963,0.796619,0.814203,0.865615,0.778268,0.88142,0.557006,0.485512,0.523628,0.539833,0.551779,0.83687,0.827238,0.802091,0.796432,0.804551,0.810709,0.840254,0.814944,0.808658,0.781334,0.772616,0.748223,0.764096,0.773278,0.758681
0.934221,0.950803,0.924296,0.965405,0.931235,0,0,0,0,0,0.086066,0.081593,0.095661,0.084277,0.070401,0.326468,0.347831,0.326397,0.314386,0.315539,0,0,0,0,0,1.00000000002876e-06,1.00000000002876e-06,1.00000000002876e-06,0,0,0.322219,0.264599,0.285962,0.255865,0.283213,0.43262,0.441545,0.423329,0.445041,0.422721,0.000666999999999973,0.000615000000000032,0.000658000000000047,0.00085500000000005,0.000628999999999991,0.548321,0.583535,0.558618,0.565534,0.579552,0,0,0,0,0,0.215232,0.227245,0.215962,0.224176,0.218094,0.583061,0.5895,0.607852,0.570377,0.581986,0,0,0,0,0,0,0,0,0,0,0.466461,0.464637,0.465424,0.455514,0.452436,0,0,0,0,0,0,0,0,0,0
0.50384,0.499932,0.499854,0.506722,0.523393,0,0,0,0,0,0.042133,0.055613,0.044772,0.039426,0.040119,0.835503,0.79333,0.785766,0.778728,0.778189,0.108917,0.106068,0.112636,0.111944,0.110917,0,0,0,0,0,0.276557,0.282885,0.301173,0.308342,0.27872,0,0,0,0,0,0.000558999999999976,0.000670999999999977,0.000581000000000054,0.000608000000000053,0.000665000000000027,0.691787,0.664059,0.692972,0.6971,0.698863,0.121368,0.134667,0.123345,0.121623,0.126838,0.225539,0.223957,0.208874,0.211124,0.211865,0.693934,0.724038,0.688293,0.720489,0.721396,0,0,0,0,0,0.104842,0.108382,0.108707,0.098955,0.111382,0.594058,0.590741,0.59622,0.600588,0.614684,0.127066,0.139599,0.125703,0.132114,0.117121,5.00000000003276e-06,4.000000000004e-06,4.000000000004e-06,4.000000000004e-06,2.99999999997524e-06
0.602427,0.615003,0.590738,0.571582,0.603363,0.17526,0.176014,0.180812,0.189984,0.178468,0.000546999999999964,0.000541000000000014,0.000620999999999983,0.000631999999999966,0.000599000000000016,0.471148,0.470072,0.437798,0.4596,0.487222,0,0,0,0,0,0.00292999999999999,0.00314599999999998,0.00348700000000002,0.00323600000000002,0.002861,0.575683,0.575882,0.589351,0.614715,0.591406,0.401416,0.420496,0.424138,0.427964,0.422662,0.015908,0.015652,0.014061,0.015545,0.016141,0.55847,0.555455,0.54011,0.526666,0.545426,0.132361,0.117386,0.122346,0.110653,0.124293,0.357421,0.369711,0.373108,0.36471,0.339449,0.493148,0.530445,0.506302,0.500221,0.490004,0.21037,0.219046,0.205397,0.195277,0.204662,0.022388,0.0184,0.022414,0.019921,0.020772,0.472241,0.480481,0.476775,0.479629,0.497724,0.351969,0.362855,0.366051,0.375519,0.346607,1.00000000002876e-06,1.00000000002876e-06,1.00000000002876e-06,1.00000000002876e-06,1.00000000002876e-06
0.689009,0.688652,0.683155,0.693806,0.700775,0.335339,0.320563,0.321628,0.315264,0.29445,0,0,0,0,0,0.238446,0.229184,0.234027,0.235049,0.235613,0.068217,0.055638,0.0658300000000001,0.060564,0.072434,0,0,0,0,0,0.82018,0.792127,0.802575,0.802415,0.840468,0.114625,0.11721,0.110117,0.114392,0.116177,0,0,0,0,0,0.877196,0.847169,0.843997,0.88174,0.863355,0,0,0,0,0,0.050741,0.058945,0.054644,0.057334,0.061713,0.218541,0.243382,0.229094,0.242135,0.245383,0.43185,0.432868,0.419479,0.439632,0.466993,0.050852,0.041556,0.0442,0.033559,0.034264,0.568188,0.505641,0.532337,0.547216,0.56708,0.596661,0.563265,0.616048,0.570924,0.60393,9.00000000003676e-06,1.2000000000012e-05,9.00000000003676e-06,8.000000000008e-06,8.000000000008e-06
0.717293,0.744566,0.709448,0.714102,0.694927,0,0,0,0,0,7.1999999999961e-05,8.50000000000017e-05,0.000176999999999983,0.000145999999999979,0.000222999999999973,0.398023,0.408783,0.428391,0.39047,0.403986,0.171673,0.172314,0.173008,0.170735,0.185055,2.59999999999705e-05,2.59999999999705e-05,1.89999999999912e-05,2.50000000000528e-05,2.8000000000028e-05,0.44716,0.497331,0.469724,0.477628,0.492704,0.531184,0.540815,0.550696,0.542591,0.549526,0.019709,0.0215649999999999,0.021706,0.023479,0.021254,0.522791,0.541177,0.506378,0.531905,0.513491,0,0,0,0,0,0.158698,0.164651,0.175533,0.174825,0.215395,0.398878,0.407789,0.404224,0.352141,0.404705,0,0,0,0,0,0.000175000000000036,0.00019199999999997,0.000187000000000048,0.00015900000000002,0.000183000000000044,0.21177,0.198867,0.189219,0.180703,0.215878,0.014784,0.01655,0.014859,0.018243,0.014699,0,0,0,0,0
