"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.997,783,100,99.72
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.567,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.379,5,38.095,99.84
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.375,5,38.095,99.439
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.474,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.521,0,100,0
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.995,960,100,99.519
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.93,604,95.238,97.756
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.94,0,100,0
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.934,877,95.238,98.077
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.918,146,95.238,96.554
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.87,0,100,0
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.993,177,100,99.339
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.99,115,100,98.958
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.984,7,100,98.397
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.99,125,100,98.958
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.985,31,100,98.478
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.989,42,100,98.878
