"rand1.SPHYRNA.MOKARRAN_PA1_RUN1_GAM","rand2.SPHYRNA.MOKARRAN_PA1_RUN1_GAM","rand3.SPHYRNA.MOKARRAN_PA1_RUN1_GAM","rand4.SPHYRNA.MOKARRAN_PA1_RUN1_GAM","rand5.SPHYRNA.MOKARRAN_PA1_RUN1_GAM","rand1.SPHYRNA.MOKARRAN_PA1_RUN1_GLM","rand2.SPHYRNA.MOKARRAN_PA1_RUN1_GLM","rand3.SPHYRNA.MOKARRAN_PA1_RUN1_GLM","rand4.SPHYRNA.MOKARRAN_PA1_RUN1_GLM","rand5.SPHYRNA.MOKARRAN_PA1_RUN1_GLM","rand1.SPHYRNA.MOKARRAN_PA1_RUN1_MAXENT.Phillips","rand2.SPHYRNA.MOKARRAN_PA1_RUN1_MAXENT.Phillips","rand3.SPHYRNA.MOKARRAN_PA1_RUN1_MAXENT.Phillips","rand4.SPHYRNA.MOKARRAN_PA1_RUN1_MAXENT.Phillips","rand5.SPHYRNA.MOKARRAN_PA1_RUN1_MAXENT.Phillips","rand1.SPHYRNA.MOKARRAN_PA1_RUN2_GAM","rand2.SPHYRNA.MOKARRAN_PA1_RUN2_GAM","rand3.SPHYRNA.MOKARRAN_PA1_RUN2_GAM","rand4.SPHYRNA.MOKARRAN_PA1_RUN2_GAM","rand5.SPHYRNA.MOKARRAN_PA1_RUN2_GAM","rand1.SPHYRNA.MOKARRAN_PA1_RUN2_GLM","rand2.SPHYRNA.MOKARRAN_PA1_RUN2_GLM","rand3.SPHYRNA.MOKARRAN_PA1_RUN2_GLM","rand4.SPHYRNA.MOKARRAN_PA1_RUN2_GLM","rand5.SPHYRNA.MOKARRAN_PA1_RUN2_GLM","rand1.SPHYRNA.MOKARRAN_PA1_RUN2_MAXENT.Phillips","rand2.SPHYRNA.MOKARRAN_PA1_RUN2_MAXENT.Phillips","rand3.SPHYRNA.MOKARRAN_PA1_RUN2_MAXENT.Phillips","rand4.SPHYRNA.MOKARRAN_PA1_RUN2_MAXENT.Phillips","rand5.SPHYRNA.MOKARRAN_PA1_RUN2_MAXENT.Phillips","rand1.SPHYRNA.MOKARRAN_PA1_RUN3_GAM","rand2.SPHYRNA.MOKARRAN_PA1_RUN3_GAM","rand3.SPHYRNA.MOKARRAN_PA1_RUN3_GAM","rand4.SPHYRNA.MOKARRAN_PA1_RUN3_GAM","rand5.SPHYRNA.MOKARRAN_PA1_RUN3_GAM","rand1.SPHYRNA.MOKARRAN_PA1_RUN3_GLM","rand2.SPHYRNA.MOKARRAN_PA1_RUN3_GLM","rand3.SPHYRNA.MOKARRAN_PA1_RUN3_GLM","rand4.SPHYRNA.MOKARRAN_PA1_RUN3_GLM","rand5.SPHYRNA.MOKARRAN_PA1_RUN3_GLM","rand1.SPHYRNA.MOKARRAN_PA1_RUN3_MAXENT.Phillips","rand2.SPHYRNA.MOKARRAN_PA1_RUN3_MAXENT.Phillips","rand3.SPHYRNA.MOKARRAN_PA1_RUN3_MAXENT.Phillips","rand4.SPHYRNA.MOKARRAN_PA1_RUN3_MAXENT.Phillips","rand5.SPHYRNA.MOKARRAN_PA1_RUN3_MAXENT.Phillips","rand1.SPHYRNA.MOKARRAN_PA1_RUN4_GAM","rand2.SPHYRNA.MOKARRAN_PA1_RUN4_GAM","rand3.SPHYRNA.MOKARRAN_PA1_RUN4_GAM","rand4.SPHYRNA.MOKARRAN_PA1_RUN4_GAM","rand5.SPHYRNA.MOKARRAN_PA1_RUN4_GAM","rand1.SPHYRNA.MOKARRAN_PA1_RUN4_GLM","rand2.SPHYRNA.MOKARRAN_PA1_RUN4_GLM","rand3.SPHYRNA.MOKARRAN_PA1_RUN4_GLM","rand4.SPHYRNA.MOKARRAN_PA1_RUN4_GLM","rand5.SPHYRNA.MOKARRAN_PA1_RUN4_GLM","rand1.SPHYRNA.MOKARRAN_PA1_RUN4_MAXENT.Phillips","rand2.SPHYRNA.MOKARRAN_PA1_RUN4_MAXENT.Phillips","rand3.SPHYRNA.MOKARRAN_PA1_RUN4_MAXENT.Phillips","rand4.SPHYRNA.MOKARRAN_PA1_RUN4_MAXENT.Phillips","rand5.SPHYRNA.MOKARRAN_PA1_RUN4_MAXENT.Phillips","rand1.SPHYRNA.MOKARRAN_PA1_RUN5_GAM","rand2.SPHYRNA.MOKARRAN_PA1_RUN5_GAM","rand3.SPHYRNA.MOKARRAN_PA1_RUN5_GAM","rand4.SPHYRNA.MOKARRAN_PA1_RUN5_GAM","rand5.SPHYRNA.MOKARRAN_PA1_RUN5_GAM","rand1.SPHYRNA.MOKARRAN_PA1_RUN5_GLM","rand2.SPHYRNA.MOKARRAN_PA1_RUN5_GLM","rand3.SPHYRNA.MOKARRAN_PA1_RUN5_GLM","rand4.SPHYRNA.MOKARRAN_PA1_RUN5_GLM","rand5.SPHYRNA.MOKARRAN_PA1_RUN5_GLM","rand1.SPHYRNA.MOKARRAN_PA1_RUN5_MAXENT.Phillips","rand2.SPHYRNA.MOKARRAN_PA1_RUN5_MAXENT.Phillips","rand3.SPHYRNA.MOKARRAN_PA1_RUN5_MAXENT.Phillips","rand4.SPHYRNA.MOKARRAN_PA1_RUN5_MAXENT.Phillips","rand5.SPHYRNA.MOKARRAN_PA1_RUN5_MAXENT.Phillips","rand1.SPHYRNA.MOKARRAN_PA1_Full_GAM","rand2.SPHYRNA.MOKARRAN_PA1_Full_GAM","rand3.SPHYRNA.MOKARRAN_PA1_Full_GAM","rand4.SPHYRNA.MOKARRAN_PA1_Full_GAM","rand5.SPHYRNA.MOKARRAN_PA1_Full_GAM","rand1.SPHYRNA.MOKARRAN_PA1_Full_GLM","rand2.SPHYRNA.MOKARRAN_PA1_Full_GLM","rand3.SPHYRNA.MOKARRAN_PA1_Full_GLM","rand4.SPHYRNA.MOKARRAN_PA1_Full_GLM","rand5.SPHYRNA.MOKARRAN_PA1_Full_GLM","rand1.SPHYRNA.MOKARRAN_PA1_Full_MAXENT.Phillips","rand2.SPHYRNA.MOKARRAN_PA1_Full_MAXENT.Phillips","rand3.SPHYRNA.MOKARRAN_PA1_Full_MAXENT.Phillips","rand4.SPHYRNA.MOKARRAN_PA1_Full_MAXENT.Phillips","rand5.SPHYRNA.MOKARRAN_PA1_Full_MAXENT.Phillips"
0.271683,0.286847,0.261908,0.266419,0.253131,0.751192,0.666804,0.700656,0.673669,0.672267,0.674216,0.692071,0.620467,0.624985,0.747233,0.567076,0.544829,0.545834,0.518381,0.561192,0.733734,0.616843,0.570739,0.601371,0.708252,0.594946,0.551834,0.616512,0.510225,0.510585,0.807359,0.692285,0.823173,0.827214,0.659503,0.641001,0.675106,0.690575,0.647482,0.742457,0.690205,0.520155,0.633257,0.532374,0.561313,0.533275,0.553419,0.552694,0.551889,0.553715,0.766359,0.8235,0.718088,0.74634,0.779898,0.624902,0.650629,0.59264,0.763184,0.698563,1,0.893863,0.985411,0.886898,0.949258,0.769044,0.840986,0.855676,0.855412,0.777376,0.813776,0.712505,0.77357,0.782651,0.867435,0.75819,0.683872,0.853967,0.77625,0.799949,0.971425,0.972393,0.988618,0.954859,0.979908,0.598464,0.704299,0.667305,0.507231,0.699962
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.743692,0.480661,0.804176,0.663405,0.621827,0,0,0,0,0,0,0,0,0,0,0.833463,0.833095,0.824496,0.815455,0.875242,0,0,0,0,0,0,0,0,0,0,0.689156,0.69087,0.691674,0.683859,0.711705,0,0,0,0,0,0,0,0,0,0,0.687467,0.733487,0.650963,0.66644,0.677498,0,0,0,0,0,0,0,0,0,0,0.467782,0.42088,0.425141,0.451375,0.462337,0,0,0,0,0,0.227332,0.250349,0.286079,0.228416,0.296692
0.461024,0.460825,0.46405,0.446738,0.483327,0.817515,0.952664,0.854385,0.870452,0.813318,0.635422,0.80348,0.843498,0.702393,0.764764,1,0.961693,1,1,1,0.779875,0.885376,0.920527,0.798874,0.863622,0.808174,0.829312,0.773029,0.709062,0.67663,1,0.883214,0.922374,0.913816,1,0.873016,0.879665,0.842321,0.804634,0.876389,0.739885,0.726515,0.698139,0.727861,0.768984,0.863857,0.998154,0.908303,0.985372,1,0.785432,0.829369,0.934143,0.789551,0.855223,0.732516,0.709357,0.666133,0.715069,0.79783,0.938447,1,0.930025,0.867702,1,0.821726,0.739426,0.837096,0.760091,0.795569,0.722034,0.763364,0.721186,0.788178,0.740222,0.810817,0.853745,0.751596,0.805192,0.749909,0.528631,0.532298,0.564069,0.500738,0.532654,0.900336,0.839413,0.763256,0.793746,0.764783
0.972441,0.980934,0.964194,0.976896,0.996477,0,0,0,0,0,0.630102,0.684543,0.624304,0.580991,0.727834,0.621121,0.78091,0.807468,0.692708,0.793496,0,0,0,0,0,0.474639,0.541378,0.411006,0.550615,0.654395,0.75997,0.749789,0.77339,0.766735,0.755527,0,0,0,0,0,0.669445,0.656724,0.702801,0.66655,0.618382,0.625361,0.512559,0.545411,0.489331,0.56564,0,0,0,0,0,0.619511,0.606782,0.577419,0.727643,0.585517,0.633137,0.601963,0.655797,0.615456,0.693277,0,0,0,0,0,0.666464,0.628963,0.584885,0.677403,0.696268,0.605455,0.659735,0.655936,0.551304,0.525447,0,0,0,0,0,0.901998,0.866539,0.915529,0.906204,0.926974
0.49127,0.423464,0.449024,0.499707,0.420513,0,0,0,0,0,0,0,0,0,0,0.765758,0.764859,0.791227,0.791481,0.81127,0,0,0,0,0,0,0,0,0,0,0.839276,0.852429,0.84413,0.852225,0.854278,0,0,0,0,0,0,0,0,0,0,0.835228,0.857101,0.86829,0.845446,0.853605,0,0,0,0,0,0,0,0,0,0,0.855261,0.859946,0.873795,0.845076,0.828134,0,0,0,0,0,0,0,0,0,0,0.355843,0.343827,0.363794,0.350881,0.377663,0.422338,0.40902,0.391704,0.399114,0.408148,0.024137,0.024019,0.015141,0.0146810000000001,0.016828
0.876098,0.887928,0.890856,0.88991,0.904925,0,0,0,0,0,0,0,0,0,0,0.701838,0.899492,0.825433,0.783793,0.643182,0,0,0,0,0,0,0,0,0,0,0.847007,0.70554,0.804685,0.933462,0.777547,0,0,0,0,0,0,0,0,0,0,0.769765,0.938117,0.875617,0.728015,0.790289,0,0,0,0,0,0,0,0,0,0,1,0.965699,0.930808,0.965652,0.993175,0,0,0,0,0,0,0,0,0,0,0.715157,0.793329,0.677619,0.838257,0.738422,0.80857,0.805534,0.776581,0.769893,0.826017,0,0,0,0,0
0.949341,0.975728,0.996803,0.974806,0.96959,0,0,0,0,0,0,0,0,0,0,0.98734,1,1,1,0.974862,0,0,0,0,0,0,0,0,0,0,0.537822,0.517293,0.633617,0.455857,0.682731,0,0,0,0,0,0,0,0,0,0,0.397344,0.441883,0.414538,0.430834,0.470585,0,0,0,0,0,0,0,0,0,0,0.963851,0.944007,0.949367,0.96501,0.914701,0,0,0,0,0,0,0,0,0,0,0.836231,0.811729,0.848178,0.818447,0.84765,0.930436,0.954073,0.897005,0.906219,0.948272,0.016172,0.0122949999999999,0.011738,0.012177,0.013894
0.889465,0.913008,0.897763,0.889894,0.902198,0,0,0,0,0,0,0,0,0,0,0.407782,0.468816,0.521848,0.416864,0.504985,0,0,0,0,0,0,0,0,0,0,0.95846,0.979469,0.978074,0.987376,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.92496,0.954771,0.977311,0.957569,0,0,0,0,0,0,0,0,0,0,0.974137,0.991385,0.967684,0.922166,0.983185,0,0,0,0,0,0.044526,0.048588,0.067414,0.054905,0.049898
0.947115,0.946723,0.927302,0.99613,0.965867,0.157559,0.18368,0.165762,0.158091,0.174933,0.00623899999999999,0.00651599999999997,0.00617599999999996,0.00670400000000004,0.00719800000000004,0.519547,0.508007,0.725056,0.365216,0.358146,0.602103,0.530683,0.649142,0.625985,0.563748,0,0,0,0,0,0.632407,0.650228,0.630811,0.669937,0.650832,0.152648,0.182124,0.153158,0.181451,0.155022,0,0,0,0,0,0.752473,0.676839,0.570037,0.720858,0.537606,0.156696,0.130616,0.145987,0.163625,0.168923,0,0,0,0,0,0.502979,0.595048,0.513667,0.541628,0.404027,0.181423,0.212814,0.233875,0.206228,0.212896,0,0,0,0,0,0.743294,0.680593,0.662739,0.698476,0.707175,0.583019,0.728787,0.623096,0.655173,0.636631,0.0380779999999999,0.03424,0.0350780000000001,0.0326419999999999,0.036756
0.961179,0.949894,0.974057,0.976009,0.957803,0,0,0,0,0,0.00592599999999999,0.005768,0.005691,0.00555700000000003,0.00453400000000004,0.969499,0.979345,0.971583,0.970005,0.918595,0,0,0,0,0,0.313505,0.236139,0.234675,0.302412,0.276357,0.914855,0.945577,0.718711,0.767401,0.850262,0,0,0,0,0,0.00897099999999995,0.012595,0.010585,0.00878800000000002,0.00891299999999995,0.904903,0.92147,0.888659,0.993503,0.950033,0,0,0,0,0,0.047241,0.044246,0.036048,0.0386879999999999,0.03953,0.803572,0.855324,0.846173,0.822555,0.91548,0,0,0,0,0,0,0,0,0,0,0.725752,0.765343,0.769081,0.782543,0.777768,0,0,0,0,0,0.0560580000000001,0.050884,0.02579,0.036129,0.053169
