"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.972,495,100,97.235
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.922,475,99.078,93.088
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.852,0,100,0
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.778,116,88.889,88.889
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.87,10,94.444,92.593
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.907,278,96.296,94.444
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.778,0,100,0
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.852,758,94.444,90.741
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.722,10,92.593,79.63
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.889,288,96.296,92.593
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.778,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.815,626,96.296,85.185
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.815,439,96.296,85.185
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.759,480,90.741,85.185
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.852,495,94.444,90.741
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.889,545,96.296,92.593
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.833,30,90.741,92.593
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.741,298,96.296,77.778
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.722,35,87.037,85.185
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.481,399,75.926,72.222
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.815,197,94.444,87.037
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.852,379,98.148,87.037
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.922,689,97.235,94.931
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.876,478,98.157,89.401
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.944,608,100,94.444
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.87,608,98.148,88.889
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.963,787,98.148,98.148
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.907,619,96.296,94.444
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.833,812,92.593,90.741
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.87,628,100,87.037
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.889,680,98.148,90.741
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.926,607,96.296,96.296
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.889,442,92.593,96.296
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.796,631,96.296,83.333
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.926,769,98.148,94.444
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.815,763,94.444,87.037
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.852,717,94.444,90.741
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.87,537,98.148,88.889
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.963,641,100,96.296
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.704,626,92.593,77.778
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.889,701,98.148,90.741
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.704,96,98.148,72.222
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.907,791,96.296,94.444
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.852,263,98.148,87.037
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.862,668,86.636,99.539
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.88,162,96.313,91.705
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.852,340.5,88.889,96.296
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.889,82,100,88.889
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.704,106.5,88.889,81.481
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.926,167,98.148,94.444
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.815,94,92.593,88.889
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.833,9,96.296,87.037
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.833,509,94.444,88.889
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.889,60,98.148,90.741
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.87,524,88.889,98.148
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.796,42,100,79.63
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.852,916,96.296,88.889
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.796,31.5,94.444,85.185
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.852,203.5,98.148,87.037
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.889,80,98.148,90.741
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.815,75.5,87.037,92.593
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.741,147,98.148,75.926
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.87,160.5,96.296,90.741
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.778,9,96.296,77.778
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.796,260.5,96.296,83.333
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.833,73,96.296,87.037
