"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.787,530,97.016,81.671
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.767,414,98.039,78.687
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.812,553,97.039,83.784
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.764,419,96.99,79.402
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.77,484,95.333,81.667
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.757,220,98.667,77
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.751,413,97.659,77.409
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.724,223,98.328,74.086
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.803,447,96.678,83.612
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.768,332,98.658,78.146
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.76,526,96.333,79.667
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.731,232,96.656,76.412
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.79,367,97.667,81.333
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.765,480,97.36,79.125
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.793,472,98,81.333
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.753,328,97.674,77.592
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.774,541,97.659,79.734
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.78,293,98.333,79.667
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.775,369,97.651,79.801
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.733,505,94.667,78.667
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.783,557,96,82.333
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.759,231,99.668,76.254
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.772,500,97.357,79.966
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.756,556,96.76,78.772
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.815,635.5,98.026,83.446
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.771,533,97.324,79.734
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.77,660,95.333,81.667
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.757,396,98.667,77
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.744,428,97.993,76.412
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.727,231.5,98.328,74.419
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.783,548.5,96.346,81.94
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.775,420,99.329,78.146
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.753,511,96.667,78.667
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.734,384,96.321,77.076
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.783,501,97.333,81
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.758,428,97.69,78.114
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.783,507,98,80.333
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.756,634,94.352,80.936
