"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.995,970,100,99.499
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.09,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.193,101,20,99.279
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.138,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.936,687,100,93.627
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.665,379,95,71.417
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.729,641,90,82.946
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.705,446,90,80.464
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.722,335,90,82.226
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.703,373,90.476,79.728
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.817,183,93.333,88.357
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.76,491,85,91.033
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.74,401,85,88.871
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.706,427.5,80,90.633
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.69,185,90,78.863
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.693,156,90.476,78.686
