"rand1.SQUALUS.ACUTIPINNIS_PA1_RUN1_GAM","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN1_GAM","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN1_GAM","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN1_GAM","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN1_GAM","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN1_GLM","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN1_GLM","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN1_GLM","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN1_GLM","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN1_GLM","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN1_MAXENT.Phillips","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN1_MAXENT.Phillips","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN1_MAXENT.Phillips","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN1_MAXENT.Phillips","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN1_MAXENT.Phillips","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN2_GLM","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN2_GLM","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN2_GLM","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN2_GLM","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN2_GLM","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN2_MAXENT.Phillips","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN2_MAXENT.Phillips","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN2_MAXENT.Phillips","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN2_MAXENT.Phillips","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN2_MAXENT.Phillips","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN3_GAM","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN3_GAM","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN3_GAM","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN3_GAM","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN3_GAM","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN3_GLM","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN3_GLM","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN3_GLM","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN3_GLM","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN3_GLM","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN3_MAXENT.Phillips","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN3_MAXENT.Phillips","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN3_MAXENT.Phillips","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN3_MAXENT.Phillips","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN3_MAXENT.Phillips","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN4_GAM","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN4_GAM","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN4_GAM","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN4_GAM","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN4_GAM","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN4_GLM","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN4_GLM","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN4_GLM","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN4_GLM","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN4_GLM","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN4_MAXENT.Phillips","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN4_MAXENT.Phillips","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN4_MAXENT.Phillips","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN4_MAXENT.Phillips","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN4_MAXENT.Phillips","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN5_GLM","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN5_GLM","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN5_GLM","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN5_GLM","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN5_GLM","rand1.SQUALUS.ACUTIPINNIS_PA1_RUN5_MAXENT.Phillips","rand2.SQUALUS.ACUTIPINNIS_PA1_RUN5_MAXENT.Phillips","rand3.SQUALUS.ACUTIPINNIS_PA1_RUN5_MAXENT.Phillips","rand4.SQUALUS.ACUTIPINNIS_PA1_RUN5_MAXENT.Phillips","rand5.SQUALUS.ACUTIPINNIS_PA1_RUN5_MAXENT.Phillips","rand1.SQUALUS.ACUTIPINNIS_PA1_Full_GAM","rand2.SQUALUS.ACUTIPINNIS_PA1_Full_GAM","rand3.SQUALUS.ACUTIPINNIS_PA1_Full_GAM","rand4.SQUALUS.ACUTIPINNIS_PA1_Full_GAM","rand5.SQUALUS.ACUTIPINNIS_PA1_Full_GAM","rand1.SQUALUS.ACUTIPINNIS_PA1_Full_GLM","rand2.SQUALUS.ACUTIPINNIS_PA1_Full_GLM","rand3.SQUALUS.ACUTIPINNIS_PA1_Full_GLM","rand4.SQUALUS.ACUTIPINNIS_PA1_Full_GLM","rand5.SQUALUS.ACUTIPINNIS_PA1_Full_GLM","rand1.SQUALUS.ACUTIPINNIS_PA1_Full_MAXENT.Phillips","rand2.SQUALUS.ACUTIPINNIS_PA1_Full_MAXENT.Phillips","rand3.SQUALUS.ACUTIPINNIS_PA1_Full_MAXENT.Phillips","rand4.SQUALUS.ACUTIPINNIS_PA1_Full_MAXENT.Phillips","rand5.SQUALUS.ACUTIPINNIS_PA1_Full_MAXENT.Phillips"
0.631887,0.802987,0.632341,0.679538,0.755325,0.520512,0.551336,0.516883,0.528022,0.508856,0.337506,0.361038,0.35396,0.350277,0.351888,1,1,1,1,1,0.959804,0.968007,0.948229,0.955617,0.922721,0.820295,0.811808,0.824898,0.848082,0.833456,1,1,1,1,1,0.864843,0.872755,0.835532,0.814571,0.845435,0.762976,0.78004,0.778414,0.766567,0.779379,0.991444,1,0.987497,1,1,0.821197,0.847367,0.826766,0.845856,0.836244,0.997985,1,1,1,1,0.761655,0.751697,0.746608,0.766109,0.709561,0.758832,0.773902,0.764371,0.76814,0.762244,0.375233,0.412326,0.385735,0.408488,0.400102,0.109914,0.117208,0.118364,0.1189,0.120697
0.773144,0.758031,0.771321,0.737011,0.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601772,0.574365,0.555453,0.561696,0.542966,0,0,0,0,0,0,0,0,0,0,0.552571,0.695445,0.692876,0.734235,0.674757,0,0,0,0,0,0.049906,0.049538,0.051084,0.051551,0.051289,0,0,0,0,0,0,0,0,0,0,0.6448,0.571334,0.579724,0.594485,0.587382,0.586149,0.609196,0.576177,0.568998,0.573954,0.053321,0.049473,0.0535330000000001,0.046214,0.050643
0.432988,0.541994,0.398314,0.443404,0.413374,0.447144,0.425721,0.434169,0.446412,0.437137,0.116142,0.125055,0.122426,0.118024,0.120628,0.012557,0.012564,0.012342,0.012664,0.012833,7.5999999999965e-05,6.89999999999857e-05,7.1999999999961e-05,7.50000000000473e-05,7.5999999999965e-05,0.942438,0.972457,0.963347,0.935351,0.955601,0,0,0,0,0,0,0,0,0,0,0.785993,0.762595,0.858084,0.789224,0.7758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711775,0.716668,0.767695,0.780429,0.738193,0.545953,0.504344,0.482166,0.514551,0.52255,0.3221,0.322468,0.325563,0.324719,0.34264
0.869065,0.888531,0.904883,0.912276,0.913007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810898,0.814215,0.80537,0.837034,0.841784,0,0,0,0,0,0,0,0,0,0,0.851477,0.877851,0.86545,0.871949,0.866287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851476,0.897523,0.888064,0.845965,0.851883,0.780412,0.798683,0.805839,0.784417,0.7457,6.09999999999777e-05,6.70000000000393e-05,6.7999999999957e-05,6.60000000000105e-05,6.89999999999857e-05
0.689447,0.693515,0.693768,0.704267,0.734406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602259,0.527072,0.650023,0.637321,0.62059,0,0,0,0,0,0,0,0,0,0,0.813286,0.739746,0.815497,0.810914,0.755311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646723,0.671788,0.646385,0.644531,0.662111,0.702485,0.687211,0.677327,0.717555,0.691125,0,0,0,0,0
0.976576,0.970457,0.977469,0.962832,0.992512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77502,0.782183,0.760705,0.771769,0.755813,0,0,0,0,0,0,0,0,0,0,0.912646,0.906617,0.833029,0.801309,0.889379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908005,0.905928,0.928337,0.8994,0.941436,0.451555,0.475812,0.469024,0.46098,0.469654,0.024237,0.024035,0.027095,0.027782,0.025207
0.988135,1,0.987327,0.976627,0.966681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832798,0.879644,0.924161,0.934028,0.922466,0,0,0,0,0,0,0,0,0,0,0.947651,0.944655,0.965039,0.947301,0.955367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74187,0.719959,0.728803,0.694627,0.73037,0.929312,0.908767,0.909987,0.919035,0.900162,0.00771100000000002,0.007467,0.007637,0.007189,0.00713900000000001
0.880322,0.912178,0.93601,0.922909,0.919308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029991,0.029354,0.0300859999999999,0.029989,0.029077,0.953186,0.956081,0.902034,0.9239,0.95123,0,0,0,0,0,0,0,0,0,0,0.824471,0.850892,0.86361,0.862674,0.863547,0,0,0,0,0,0.020473,0.020742,0.020364,0.019821,0.019871,0,0,0,0,0,0,0,0,0,0,0.751066,0.776606,0.767778,0.803863,0.770791,0.586717,0.608302,0.593229,0.612016,0.606047,0.013002,0.01579,0.01422,0.014252,0.014715
0.876885,0.873228,0.876826,0.873936,0.890681,0,0,0,0,0,0.025354,0.024957,0.025161,0.0254529999999999,0.024788,0,0,0,0,0,0.00794600000000001,0.00777899999999998,0.00811899999999999,0.00773299999999999,0.00758099999999995,0.824545,0.78872,0.764529,0.748719,0.776989,0.037079,0.037477,0.037664,0.038054,0.037915,0.00937900000000003,0.00934599999999997,0.00997000000000003,0.00928099999999998,0.00933099999999998,0.882387,0.861235,0.869051,0.89573,0.847824,0.067384,0.067212,0.065706,0.068703,0.064154,0.000140999999999947,0.000151000000000012,0.000136000000000025,0.000134999999999996,0.000140000000000029,0.058327,0.055486,0.057104,0.056188,0.054266,0.00863800000000003,0.00852600000000003,0.00853300000000001,0.00790400000000002,0.00862099999999999,0.549177,0.591247,0.561849,0.549889,0.604851,0.390236,0.391876,0.397197,0.375875,0.383794,0.030006,0.0318310000000001,0.030494,0.028214,0.029479
0.76034,0.745819,0.779467,0.644471,0.815601,0,0,0,0,0,0.234795,0.231182,0.235859,0.250771,0.239973,0,0,0,0,0,0.07065,0.068313,0.073735,0.07192,0.0676020000000001,0.94173,0.909667,0.927687,0.955259,0.904294,0,0,0,0,0,0.138871,0.140764,0.141585,0.130832,0.139157,0.988379,0.990325,1,1,0.97991,0,0,0,0,0,0.207279,0.211684,0.220296,0.213019,0.214979,0,0,0,0,0,0.322473,0.306957,0.303746,0.293658,0.291456,0.981167,0.985262,0.966933,0.965014,0.948707,0.7503,0.741391,0.741922,0.735631,0.714239,0.355168,0.335892,0.361775,0.343355,0.353694
