"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.828,485,96.899,85.853
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.816,566,93.798,87.791
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.779,585,95.522,82.353
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.694,172,100,69.403
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.831,237,97.761,85.294
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.762,482,94.853,80.597
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.766,139,99.248,77.372
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.784,404,97.059,81.343
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.713,152,97.015,74.265
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.728,288,98.507,74.265
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.836,474,95.588,88.06
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.725,575,94.118,78.358
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.784,40,99.265,79.104
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.794,520,94.737,84.672
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.794,494.5,93.985,85.401
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.77,571,92.647,83.582
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.734,438,92.537,80.882
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.77,589,89.63,87.407
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.83,389,96.269,86.765
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.793,389,94.074,85.185
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.801,485,96.269,83.824
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.755,526,91.176,84.328
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.816,582,95.736,85.659
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.769,444,95.93,81.008
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.765,290,100,76.471
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.747,549,97.059,77.612
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.852,623,96.269,88.235
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.761,263,99.265,76.866
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.759,337,99.248,76.642
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.784,446,97.059,81.343
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.75,416.5,99.254,75.735
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.749,622,96.269,77.941
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.807,518,94.853,85.821
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.74,668,94.118,79.851
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.814,582.5,96.324,85.075
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.786,606,93.233,85.401
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.78,378,96.992,81.022
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.784,460,94.853,83.582
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.771,654.5,94.776,82.353
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.778,550,91.111,86.667
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.852,677,96.269,88.235
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.756,563,92.593,82.963
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.823,621,97.761,84.559
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.717,467,94.118,77.612
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.798,195,97.093,82.752
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.773,310,89.147,88.178
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.779,244.5,98.507,79.412
