"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.996,838,100,99.639
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.909,495,95.238,95.612
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",NA,NA,NA,NA
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.822,30,85.714,96.477
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.7,422,100,69.952
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.634,408,86.364,77.003
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.661,436,90.909,75.16
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.916,29,97.619,93.789
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.882,36,90.476,97.678
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.828,80,85.714,97.038
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.954,100,100,95.433
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.872,53,90.909,96.074
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.898,68,95.455,94.231
