"rand1.SQUATINA.AFRICANA_PA1_RUN1_MAXENT.Phillips","rand2.SQUATINA.AFRICANA_PA1_RUN1_MAXENT.Phillips","rand3.SQUATINA.AFRICANA_PA1_RUN1_MAXENT.Phillips","rand4.SQUATINA.AFRICANA_PA1_RUN1_MAXENT.Phillips","rand5.SQUATINA.AFRICANA_PA1_RUN1_MAXENT.Phillips","rand1.SQUATINA.AFRICANA_PA1_RUN2_GLM","rand2.SQUATINA.AFRICANA_PA1_RUN2_GLM","rand3.SQUATINA.AFRICANA_PA1_RUN2_GLM","rand4.SQUATINA.AFRICANA_PA1_RUN2_GLM","rand5.SQUATINA.AFRICANA_PA1_RUN2_GLM","rand1.SQUATINA.AFRICANA_PA1_RUN2_MAXENT.Phillips","rand2.SQUATINA.AFRICANA_PA1_RUN2_MAXENT.Phillips","rand3.SQUATINA.AFRICANA_PA1_RUN2_MAXENT.Phillips","rand4.SQUATINA.AFRICANA_PA1_RUN2_MAXENT.Phillips","rand5.SQUATINA.AFRICANA_PA1_RUN2_MAXENT.Phillips","rand1.SQUATINA.AFRICANA_PA1_RUN3_GLM","rand2.SQUATINA.AFRICANA_PA1_RUN3_GLM","rand3.SQUATINA.AFRICANA_PA1_RUN3_GLM","rand4.SQUATINA.AFRICANA_PA1_RUN3_GLM","rand5.SQUATINA.AFRICANA_PA1_RUN3_GLM","rand1.SQUATINA.AFRICANA_PA1_RUN3_MAXENT.Phillips","rand2.SQUATINA.AFRICANA_PA1_RUN3_MAXENT.Phillips","rand3.SQUATINA.AFRICANA_PA1_RUN3_MAXENT.Phillips","rand4.SQUATINA.AFRICANA_PA1_RUN3_MAXENT.Phillips","rand5.SQUATINA.AFRICANA_PA1_RUN3_MAXENT.Phillips","rand1.SQUATINA.AFRICANA_PA1_RUN4_GLM","rand2.SQUATINA.AFRICANA_PA1_RUN4_GLM","rand3.SQUATINA.AFRICANA_PA1_RUN4_GLM","rand4.SQUATINA.AFRICANA_PA1_RUN4_GLM","rand5.SQUATINA.AFRICANA_PA1_RUN4_GLM","rand1.SQUATINA.AFRICANA_PA1_RUN4_MAXENT.Phillips","rand2.SQUATINA.AFRICANA_PA1_RUN4_MAXENT.Phillips","rand3.SQUATINA.AFRICANA_PA1_RUN4_MAXENT.Phillips","rand4.SQUATINA.AFRICANA_PA1_RUN4_MAXENT.Phillips","rand5.SQUATINA.AFRICANA_PA1_RUN4_MAXENT.Phillips","rand1.SQUATINA.AFRICANA_PA1_RUN5_GLM","rand2.SQUATINA.AFRICANA_PA1_RUN5_GLM","rand3.SQUATINA.AFRICANA_PA1_RUN5_GLM","rand4.SQUATINA.AFRICANA_PA1_RUN5_GLM","rand5.SQUATINA.AFRICANA_PA1_RUN5_GLM","rand1.SQUATINA.AFRICANA_PA1_RUN5_MAXENT.Phillips","rand2.SQUATINA.AFRICANA_PA1_RUN5_MAXENT.Phillips","rand3.SQUATINA.AFRICANA_PA1_RUN5_MAXENT.Phillips","rand4.SQUATINA.AFRICANA_PA1_RUN5_MAXENT.Phillips","rand5.SQUATINA.AFRICANA_PA1_RUN5_MAXENT.Phillips","rand1.SQUATINA.AFRICANA_PA1_Full_GAM","rand2.SQUATINA.AFRICANA_PA1_Full_GAM","rand3.SQUATINA.AFRICANA_PA1_Full_GAM","rand4.SQUATINA.AFRICANA_PA1_Full_GAM","rand5.SQUATINA.AFRICANA_PA1_Full_GAM","rand1.SQUATINA.AFRICANA_PA1_Full_GLM","rand2.SQUATINA.AFRICANA_PA1_Full_GLM","rand3.SQUATINA.AFRICANA_PA1_Full_GLM","rand4.SQUATINA.AFRICANA_PA1_Full_GLM","rand5.SQUATINA.AFRICANA_PA1_Full_GLM","rand1.SQUATINA.AFRICANA_PA1_Full_MAXENT.Phillips","rand2.SQUATINA.AFRICANA_PA1_Full_MAXENT.Phillips","rand3.SQUATINA.AFRICANA_PA1_Full_MAXENT.Phillips","rand4.SQUATINA.AFRICANA_PA1_Full_MAXENT.Phillips","rand5.SQUATINA.AFRICANA_PA1_Full_MAXENT.Phillips"
0.788152,0.631288,0.666552,0.644532,0.677854,1,1,1,1,1,0.748638,0.765069,0.790898,0.763442,0.830274,0,0,0,0,0,0.718171,0.734238,0.664558,0.704396,0.722074,0,0,0,0,0,0.579921,0.48223,0.52316,0.488914,0.62523,0,0,0,0,0,0.654041,0.621971,0.625394,0.636306,0.68689,0.452667,0.44081,0.468188,0.450319,0.430678,0.150053,0.159732,0.162676,0.174318,0.137364,0.745772,0.838513,0.79672,0.804344,0.802281
0.363412,0.407579,0.373929,0.417322,0.409162,0,0,0,0,0,0.055131,0.0512010000000001,0.057877,0.047311,0.051857,0,0,0,0,0,0.362124,0.357421,0.390951,0.390973,0.352387,0,0,0,0,0,0.484944,0.471496,0.496002,0.456075,0.476396,0,0,0,0,0,0.241319,0.220011,0.209976,0.214081,0.227127,0.599013,0.628033,0.596485,0.65829,0.589361,0.694474,0.710099,0.697996,0.710099,0.711206,0.04553,0.040015,0.04164,0.045304,0.040515
0.675547,0.725787,0.655246,0.679925,0.669498,0.801742,0.666737,0.871815,0.6949,0.687577,0.338956,0.350669,0.342551,0.363514,0.334342,0,0,0,0,0,0.374377,0.366285,0.356318,0.330894,0.368638,0,0,0,0,0,0.678392,0.727579,0.680532,0.779549,0.644795,0,0,0,0,0,0.362869,0.386454,0.418465,0.364911,0.318801,0.819521,0.661187,0.772939,0.730142,0.692538,0.58807,0.572169,0.611584,0.625061,0.554092,0.306938,0.310142,0.274753,0.336662,0.356404
0.082009,0.108891,0.0974,0.117334,0.112041,0,0,0,0,0,0.084713,0.06532,0.078888,0.085945,0.085497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172792,0.169713,0.177491,0.154828,0.178427,0,0,0,0,0,0.113319,0.117556,0.111121,0.124643,0.109629,0.697612,0.777537,0.688282,0.719687,0.750158,0,0,0,0,0,0.50833,0.498493,0.506191,0.500302,0.456076
0,0,0,0,0,0.231295,0.211056,0.231328,0.202805,0.218869,0.636321,0.600949,0.688585,0.635161,0.56006,0,0,0,0,0,0.033406,0.031486,0.034072,0.031043,0.0333059999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00350399999999995,0.002915,0.00321199999999999,0.00404800000000005,0.00397000000000003,0.904129,0.936386,0.897358,0.918524,0.948102,0.557188,0.620853,0.534888,0.618261,0.57414,0.127369,0.147709,0.12522,0.136223,0.160061
0,0,0,0,0,0.703732,0.703642,0.693187,0.719546,0.711891,0.082923,0.079959,0.099083,0.068512,0.0698569999999999,0,0,0,0,0,0.054263,0.056337,0.054866,0.058431,0.051372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637373,0.649108,0.670079,0.636844,0.652731,0.525316,0.529777,0.523143,0.531208,0.527287,0.00321099999999996,0.00569799999999998,0.00464699999999996,0.00512800000000002,0.00515299999999996
0.153971,0.165667,0.158618,0.158536,0.149071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028016,0.033288,0.02899,0.035147,0.032906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485436,0.496557,0.523908,0.530052,0.517859,0,0,0,0,0,0,0,0,0,0
0.028383,0.033255,0.037754,0.028118,0.0347420000000001,0,0,0,0,0,0.174287,0.161646,0.197388,0.198661,0.190127,0,0,0,0,0,0.377809,0.390518,0.369209,0.364306,0.387359,0,0,0,0,0,0.089798,0.10899,0.094116,0.103926,0.101237,0,0,0,0,0,0.010955,0.00961900000000004,0.00992400000000004,0.00941700000000001,0.01085,0.894465,0.911815,0.88541,0.942422,0.89051,0,0,0,0,0,0.338195,0.324614,0.349754,0.340045,0.346171
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.99106,1,0,0,0,0,0,0.987504,0.97454,1,1,1,0.015481,0.011561,0.012715,0.016101,0.01647,1,0.986525,0.977471,1,0.976634,0,0,0,0,0,0.512312,0.405184,0.503583,0.55754,0.535873,0,0,0,0,0,0.018415,0.016777,0.017357,0.015275,0.019814
0.063478,0.0484599999999999,0.0537879999999999,0.046533,0.048165,0.655424,0.668678,0.682438,0.657809,0.661649,0.381537,0.390578,0.370529,0.377829,0.396526,0,0,0,0,0,0.199271,0.188183,0.19313,0.201237,0.187486,0,0,0,0,0,0.333928,0.294509,0.334989,0.308187,0.276844,0,0,0,0,0,0.088838,0.0880300000000001,0.093121,0.084974,0.084139,0.951664,0.939247,0.957,0.9136,0.917406,0.823203,0.819624,0.84395,0.873869,0.829832,0.275766,0.267685,0.270171,0.263559,0.26846
