"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,500,100,99.98
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.499,985,50,99.92
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,1000,0,99.599
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.495,586,50,99.519
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.498,495,50,99.84
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.991,949,100,99.119
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.998,975,100,99.76
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0,999,0,99.92
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.499,990,50,99.92
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.995,985,100,99.519
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.494,495,50,99.439
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.987,317,100,98.698
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.995,608.5,100,99.519
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.968,0,100,0
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.971,36,100,97.115
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.997,545.5,100,99.679
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.972,0,100,0
