"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,495,100,99.92
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0,1000,0,99.76
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,1000,0,99.92
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.998,853.5,100,99.76
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,1000,0,99.84
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.498,495,50,99.76
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.984,495,100,98.437
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",1,990,100,100
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.999,990,100,99.92
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.998,929,100,99.76
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.498,495,50,99.84
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",1,949,100,100
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.999,298.5,100,99.9
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.999,268,100,99.92
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",1,446,100,100
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.999,633,100,99.92
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",1,567,100,100
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",1,413,100,100
