"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.998,944,100,99.84
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.99,45.5,100,99.038
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.496,495,50,99.599
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.745,25,75,99.519
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.495,10,50,99.519
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.744,10,75,99.359
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.972,495,100,97.177
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.934,495,100,93.429
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.972,495,100,97.196
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.975,495,100,97.516
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.966,495,100,96.635
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.982,495,100,98.237
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.978,171,100,97.777
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.984,450,100,98.397
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.973,102,100,97.276
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.986,371,100,98.638
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.978,71,100,97.837
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.994,494,100,99.439
