"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,500,100,100
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",1,500,100,100
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.436,485,71.795,71.795
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.692,0,100,0
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.716,0,100,0
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.647,470,78.571,86.111
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.589,10,80,78.947
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.667,0,100,0
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.542,25,84.211,70
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.772,869,82.5,94.737
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.535,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.48,25,61.905,86.111
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.692,985,85,84.211
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.71,0,100,0
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.538,40,79.487,74.359
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.543,515,73.171,81.081
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.645,480,75,89.474
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.77,0,100,0
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.543,414,73.171,81.081
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.59,116,89.744,69.231
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.664,172,87.5,78.947
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.789,547,93.985,84.211
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.827,545,99.248,83.459
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.667,670,84.615,82.051
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.795,508,97.436,82.051
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.846,547,92.5,92.105
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.861,242,100,86.111
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.791,349,97.5,81.579
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.846,497,94.872,89.744
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.721,760,92.105,80
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.843,104,97.5,86.842
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.759,444.5,97.561,78.378
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.738,267.5,90.476,83.333
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.789,228,100,78.947
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.806,394,100,80.556
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.718,572,89.744,82.051
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.762,545,95.122,81.081
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.821,362,90,92.105
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.824,118.5,97.368,85
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.784,106,100,78.378
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.821,185,100,82.051
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.615,116,94.872,66.667
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.767,327,92.5,84.211
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.835,282,95.489,87.97
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.812,305.5,93.985,87.218
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.692,379.5,79.487,89.744
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.564,906,66.667,89.744
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.843,238,97.5,86.842
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.786,201,95.238,83.333
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.691,514,87.5,81.579
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.821,315.5,92.308,89.744
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.575,73,100,57.5
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.692,101,85,84.211
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.767,621,90.244,86.486
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.734,243.5,92.857,80.556
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.607,179,97.5,63.158
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.762,897,92.857,83.333
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.667,322,92.308,74.359
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.77,464,87.805,89.189
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.77,29,87.5,89.474
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.743,309,86.842,87.5
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.738,92,92.683,81.081
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.667,4.5,89.744,76.923
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.538,662,94.872,58.974
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.789,122,100,78.947
