"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.998,975,100,99.84
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.494,944,50,99.439
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.24,783,25,99.038
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.493,990,50,99.279
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.243,929,25,99.279
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.279
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.99,939,100,98.958
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.724,495,75,97.356
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.954,495,100,95.433
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.494,990,50,99.439
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.718,495,75,96.795
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.479,25,50,97.917
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.976,144,100,97.576
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.988,447,100,98.798
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.987,508,100,98.718
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.963,35,100,96.314
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.978,183,100,97.756
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.969,97,100,96.795
