"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,505,100,99.98
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",1,919,100,100
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.996,449.5,100,99.599
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.997,5,100,99.679
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.5,980,50,100
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.997,323,100,99.679
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.979,838,100,97.917
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.994,989,100,99.439
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.498,960,50,99.84
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.987,887,100,98.718
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.499,495,50,99.92
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.972,495,100,97.196
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.96,9,100,95.833
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",1,746,100,100
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.999,861.5,100,99.92
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.999,812,100,99.92
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.499,247,50,99.92
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",1,830,100,100
