"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.983,495,100,98.305
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.983,500,100,98.305
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",NA,NA,NA,NA
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",NA,NA,NA,NA
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",NA,NA,NA,NA
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",NA,NA,NA,NA
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",NA,NA,NA,NA
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",NA,NA,NA,NA
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",NA,NA,NA,NA
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.924,449.5,98.305,94.068
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.958,581,97.458,98.305
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.853,237,100,85.294
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.889,495,94.595,94.286
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.944,273,97.222,97.222
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.918,500,94.872,96.97
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.917,591,94.595,97.143
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.918,758,94.737,94.118
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.853,393,97.436,87.879
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.768,495,97.368,79.412
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.889,904,94.595,94.286
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.974,576,97.436,100
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.889,621,94.595,94.286
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.916,556,97.297,94.286
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.778,702,89.189,88.571
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.917,374,94.444,97.222
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.918,798,94.737,97.059
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.971,838,100,97.143
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.944,735,97.297,97.143
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.949,707,94.872,100
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.917,475,97.222,94.444
