"rand1.TRIAKIS.MEGALOPTERUS_PA1_RUN1_GLM","rand2.TRIAKIS.MEGALOPTERUS_PA1_RUN1_GLM","rand3.TRIAKIS.MEGALOPTERUS_PA1_RUN1_GLM","rand4.TRIAKIS.MEGALOPTERUS_PA1_RUN1_GLM","rand5.TRIAKIS.MEGALOPTERUS_PA1_RUN1_GLM","rand1.TRIAKIS.MEGALOPTERUS_PA1_RUN1_MAXENT.Phillips","rand2.TRIAKIS.MEGALOPTERUS_PA1_RUN1_MAXENT.Phillips","rand3.TRIAKIS.MEGALOPTERUS_PA1_RUN1_MAXENT.Phillips","rand4.TRIAKIS.MEGALOPTERUS_PA1_RUN1_MAXENT.Phillips","rand5.TRIAKIS.MEGALOPTERUS_PA1_RUN1_MAXENT.Phillips","rand1.TRIAKIS.MEGALOPTERUS_PA1_Full_GAM","rand2.TRIAKIS.MEGALOPTERUS_PA1_Full_GAM","rand3.TRIAKIS.MEGALOPTERUS_PA1_Full_GAM","rand4.TRIAKIS.MEGALOPTERUS_PA1_Full_GAM","rand5.TRIAKIS.MEGALOPTERUS_PA1_Full_GAM","rand1.TRIAKIS.MEGALOPTERUS_PA1_Full_GLM","rand2.TRIAKIS.MEGALOPTERUS_PA1_Full_GLM","rand3.TRIAKIS.MEGALOPTERUS_PA1_Full_GLM","rand4.TRIAKIS.MEGALOPTERUS_PA1_Full_GLM","rand5.TRIAKIS.MEGALOPTERUS_PA1_Full_GLM","rand1.TRIAKIS.MEGALOPTERUS_PA1_Full_MAXENT.Phillips","rand2.TRIAKIS.MEGALOPTERUS_PA1_Full_MAXENT.Phillips","rand3.TRIAKIS.MEGALOPTERUS_PA1_Full_MAXENT.Phillips","rand4.TRIAKIS.MEGALOPTERUS_PA1_Full_MAXENT.Phillips","rand5.TRIAKIS.MEGALOPTERUS_PA1_Full_MAXENT.Phillips","rand1.TRIAKIS.MEGALOPTERUS_PA2_RUN1_GLM","rand2.TRIAKIS.MEGALOPTERUS_PA2_RUN1_GLM","rand3.TRIAKIS.MEGALOPTERUS_PA2_RUN1_GLM","rand4.TRIAKIS.MEGALOPTERUS_PA2_RUN1_GLM","rand5.TRIAKIS.MEGALOPTERUS_PA2_RUN1_GLM","rand1.TRIAKIS.MEGALOPTERUS_PA2_RUN1_MAXENT.Phillips","rand2.TRIAKIS.MEGALOPTERUS_PA2_RUN1_MAXENT.Phillips","rand3.TRIAKIS.MEGALOPTERUS_PA2_RUN1_MAXENT.Phillips","rand4.TRIAKIS.MEGALOPTERUS_PA2_RUN1_MAXENT.Phillips","rand5.TRIAKIS.MEGALOPTERUS_PA2_RUN1_MAXENT.Phillips","rand1.TRIAKIS.MEGALOPTERUS_PA2_Full_GAM","rand2.TRIAKIS.MEGALOPTERUS_PA2_Full_GAM","rand3.TRIAKIS.MEGALOPTERUS_PA2_Full_GAM","rand4.TRIAKIS.MEGALOPTERUS_PA2_Full_GAM","rand5.TRIAKIS.MEGALOPTERUS_PA2_Full_GAM","rand1.TRIAKIS.MEGALOPTERUS_PA2_Full_GLM","rand2.TRIAKIS.MEGALOPTERUS_PA2_Full_GLM","rand3.TRIAKIS.MEGALOPTERUS_PA2_Full_GLM","rand4.TRIAKIS.MEGALOPTERUS_PA2_Full_GLM","rand5.TRIAKIS.MEGALOPTERUS_PA2_Full_GLM","rand1.TRIAKIS.MEGALOPTERUS_PA2_Full_MAXENT.Phillips","rand2.TRIAKIS.MEGALOPTERUS_PA2_Full_MAXENT.Phillips","rand3.TRIAKIS.MEGALOPTERUS_PA2_Full_MAXENT.Phillips","rand4.TRIAKIS.MEGALOPTERUS_PA2_Full_MAXENT.Phillips","rand5.TRIAKIS.MEGALOPTERUS_PA2_Full_MAXENT.Phillips"
0,0,0,0,0,0.437215,0.541985,0.490587,0.468156,0.502167,0.765952,0.631062,0.771769,0.726988,0.693421,0,0,0,0,0,0.601163,0.661145,0.667693,0.55834,0.619511,0.376881,0.356229,0.383462,0.368838,0.404278,0.398899,0.470954,0.506292,0.557,0.608784,0.23869,0.238109,0.195837,0.23499,0.2465,0,0,0,0,0,0.169798,0.206812,0.210717,0.210631,0.250632
0,0,0,0,0,0,0,0,0,0,0.760037,0.820756,0.940578,0.815331,0.837445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154121,0.115952,0.129355,0.126833,0.137162,0.528087,0.645494,0.658929,0.57381,0.576491,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.02571,0.021838,0.01183,0.035301,0.001108,0.387745,0.363028,0.323273,0.483155,0.376424,0,0,0,0,0,0.00854900000000003,0.00974799999999998,0.00850099999999998,0.008575,0.00719599999999998,0,0,0,0,0,0.053847,0.0654749999999999,0.055637,0.023416,0.048892,0.286438,0.267816,0.256783,0.327982,0.240322,0,0,0,0,0,0,0,0,0,0
0.148382,0.131577,0.128335,0.157212,0.144486,0.022095,0.03978,0.017498,0.030789,0.047787,0.28932,0.309868,0.295606,0.301385,0.261044,0.140934,0.136766,0.164943,0.12173,0.161466,0,0,0,0,0,0,0,0,0,0,0.106601,0.086321,0.136975,0.110741,0.107423,0.48345,0.401374,0.384216,0.385736,0.445835,0,0,0,0,0,0,0,0,0,0
0.874563,0.792922,0.821816,0.808625,0.67978,0.335549,0.319427,0.429478,0.353401,0.309281,0.661991,0.662697,0.603909,0.544161,0.660932,0.764458,0.748105,0.850746,0.722456,0.702305,0.140272,0.14909,0.183526,0.137822,0.219483,0,0,0,0,0,0.385384,0.418243,0.30466,0.292531,0.417515,0.469758,0.466211,0.552786,0.434967,0.510691,0.421881,0.531582,0.425091,0.459274,0.433178,0.651394,0.649534,0.554167,0.606178,0.53106
0,0,0,0,0,0.080132,0.065721,0.061455,0.0818719999999999,0.056094,0.49235,0.524959,0.530206,0.513948,0.587667,0,0,0,0,0,0.00695000000000001,0.00981699999999996,0.00847200000000004,0.00704400000000005,0.00818300000000005,0,0,0,0,0,0.069092,0.062626,0.051995,0.0784820000000001,0.078985,0.222727,0.200021,0.230261,0.22197,0.220927,0,0,0,0,0,0.00315699999999997,0.002193,0.00266299999999997,0.00434199999999996,0.00290699999999999
0,0,0,0,0,0,0,0,0,0,0.38152,0.411017,0.448387,0.41772,0.413181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736999999999999,9.30000000000097e-05,0.000288999999999984,0.00553999999999999,0.00140300000000004,0.120566,0.149935,0.15683,0.151744,0.135433,0,0,0,0,0,0,0,0,0,0
0.061698,0.0535870000000001,0.070981,0.067367,0.058086,0.028192,0.019957,0.037723,0.022598,0.019605,0.320644,0.329924,0.350773,0.343397,0.316683,0,0,0,0,0,0.079492,0.10251,0.088224,0.075483,0.101404,0.277149,0.203377,0.193725,0.200987,0.259629,0.014107,0.014107,0.017377,0.014107,0.014107,0.337125,0.292348,0.331191,0.320936,0.420271,0.098936,0.113066,0.125101,0.108903,0.094326,0.012726,0.013061,0.01458,0.014879,0.01567
0,0,0,0,0,0.126297,0.111138,0.134396,0.122491,0.090762,0.017396,0.020716,0.017795,0.012748,0.028335,0,0,0,0,0,0.056304,0.060389,0.049594,0.049229,0.0518150000000001,0,0,0,0,0,0,0,0,0,0,0.25429,0.291999,0.289537,0.296159,0.353157,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.00910900000000003,0.01418,0.011652,0.00325200000000003,0.015921,0.39363,0.31547,0.32266,0.381456,0.266788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062578,0.018503,0.054267,0.042987,0.066256,0.345831,0.233913,0.255705,0.267395,0.289005,0,0,0,0,0,0.004799,0.00504199999999999,0.010025,0.00335200000000002,0.00690800000000003
0,0,0,0,0,0,0,0,0,0,0.054579,0.056414,0.048277,0.048479,0.054635,0,0,0,0,0,0.002803,0.00408299999999995,0.00357499999999999,0.00279600000000002,0.00422599999999995,0.053359,0.0339970000000001,0.04961,0.035573,0.043921,0.067769,0.090018,0.086937,0.056816,0.092415,0.299001,0.32913,0.32886,0.311758,0.264457,0.033107,0.041758,0.041227,0.041314,0.027822,0.026527,0.031518,0.030817,0.033126,0.038914
0,0,0,0,0,0.017151,0.0168160000000001,0.025496,0.02316,0.011783,0.264163,0.325263,0.287211,0.278103,0.216068,0,0,0,0,0,4.000000000004e-06,1.79999999999625e-05,1.2000000000012e-05,9.00000000003676e-06,9.00000000003676e-06,0,0,0,0,0,0,0,0,0,0,0.942301,0.895916,0.921897,0.920331,0.945541,0,0,0,0,0,0,0,0,0,0
