"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,515,100,99.88
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.995,35,100,99.519
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,1000,0,99.359
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.439
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,1000,0,99.279
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.599
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.756,590,100,75.551
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.978,948,100,97.837
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.476,960,50,97.596
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.986,960,100,98.558
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.489,61,50,98.878
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.885,723,100,88.381
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.752,384,100,75.17
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.901,602,100,89.984
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.856,511,100,85.497
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.877,590,100,87.58
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.826,420,100,82.532
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.85,498,100,84.856
