SPECIES_SCIENTIFIC,CUR_NME,STATUS,ENDEMIC.STATUS,Species_common
ACROTERIOBATUS ANNULATUS,Addo Elephant National Park Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Agulhas Bank Complex Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Agulhas Muds Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Aliwal Shoal Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Amathole Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Betty's Bay Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,De Hoop Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Dwesa-Cwebe Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Goukamma Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Helderberg Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Hluleka Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,iSimangaliso Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Jutten Island Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Langebaan Lagoon Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Malgas Island Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Marcus Island Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Namaqua Fossil Forest Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Pondoland Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Protea Banks Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Robben Island Marine Protected Area,VU,1,Lesser guitarfish
ACROTERIOBATUS ANNULATUS,Robberg Marine Protected Area,VU,1,Lesser guitarfish
