"feature","met","total_amount","absolute_target","absolute_held","absolute_shortfall","relative_target","relative_held","relative_shortfall","sol_n"
"Acroteriobatus annulatus",TRUE,1242,621,624,0,0.5,0.502415458937198,0,1
"Acroteriobatus leucospilus",TRUE,161,80.5,82,0,0.5,0.509316770186335,0,1
"Aetobatus ocellatus",TRUE,188,56.4,86,0,0.3,0.457446808510638,0,1
"Aetomylaeus bovinus",TRUE,391,195.5,207,0,0.5,0.529411764705882,0,1
"Apristurus microps",TRUE,987,296.1,297,0,0.3,0.300911854103343,0,1
"Apristurus saldanha",TRUE,735,220.5,318,0,0.3,0.43265306122449,0,1
"Bathyraja smithii",TRUE,738,221.4,385,0,0.3,0.521680216802168,0,1
"Bathytoshia brevicaudata",TRUE,784,235.2,389,0,0.3,0.496173469387755,0,1
"Bathytoshia lata",TRUE,933,279.9,390,0,0.3,0.418006430868167,0,1
"Carcharhinus albimarginatus",TRUE,10,3,5,0,0.3,0.5,0,1
"Carcharhinus amblyrhynchos",TRUE,23,11.5,16,0,0.5,0.695652173913043,0,1
"Carcharhinus amboinensis",TRUE,231,69.3,99,0,0.3,0.428571428571429,0,1
"Carcharhinus brachyurus",TRUE,1230,369,637,0,0.3,0.517886178861789,0,1
"Carcharhinus brevipinna",TRUE,247,74.1,120,0,0.3,0.48582995951417,0,1
"Carcharhinus humani",TRUE,63,18.9,36,0,0.3,0.571428571428571,0,1
"Carcharhinus leucas",TRUE,117,35.1,65,0,0.3,0.555555555555556,0,1
"Carcharhinus limbatus",TRUE,330,99,165,0,0.3,0.5,0,1
"Carcharhinus obscurus",TRUE,707,353.5,406,0,0.5,0.574257425742574,0,1
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,1
"Carcharias taurus",TRUE,552,276,316,0,0.5,0.572463768115942,0,1
"Centrophorus squamosus",TRUE,515,257.5,258,0,0.5,0.500970873786408,0,1
"Centroscyllium fabricii",TRUE,445,133.5,183,0,0.3,0.41123595505618,0,1
"Centroscymnus coelolepis",TRUE,699,209.7,210,0,0.3,0.300429184549356,0,1
"Centroscymnus owstonii",TRUE,527,158.1,160,0,0.3,0.303605313092979,0,1
"Centroselachus crepidater",TRUE,486,145.8,219,0,0.3,0.450617283950617,0,1
"Cirrhigaleus asper",TRUE,448,134.4,220,0,0.3,0.491071428571429,0,1
"Cruriraja parcomaculata",TRUE,1646,493.8,846,0,0.3,0.513973268529769,0,1
"Dasyatis chrysonota",TRUE,773,231.9,397,0,0.3,0.513583441138422,0,1
"Deania calcea",TRUE,825,247.5,327,0,0.3,0.396363636363636,0,1
"Dipturus pullopunctatus",TRUE,1780,534,943,0,0.3,0.529775280898876,0,1
"Dipturus stenorhynchus",TRUE,600,180,229,0,0.3,0.381666666666667,0,1
"Etmopterus compagnoi",TRUE,741,222.3,270,0,0.3,0.364372469635628,0,1
"Etmopterus granulosus",TRUE,781,234.3,306,0,0.3,0.391805377720871,0,1
"Etmopterus pusillus",TRUE,1093,327.9,424,0,0.3,0.387923147301006,0,1
"Etmopterus sculptus",TRUE,603,180.9,268,0,0.3,0.444444444444444,0,1
"Galeocerdo cuvier",TRUE,164,49.2,90,0,0.3,0.548780487804878,0,1
"Galeorhinus galeus",TRUE,1925,962.5,963,0,0.5,0.50025974025974,0,1
"Gymnura natalensis",TRUE,544,163.2,303,0,0.3,0.556985294117647,0,1
"Halaelurus lineatus",TRUE,148,44.4,52,0,0.3,0.351351351351351,0,1
"Halaelurus natalensis",TRUE,649,324.5,325,0,0.5,0.500770416024653,0,1
"Haploblepharus edwardsii",TRUE,687,412.2,413,0,0.6,0.601164483260553,0,1
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,1
"Haploblepharus pictus",TRUE,332,99.6,201,0,0.3,0.605421686746988,0,1
"Himantura leoparda",TRUE,172,51.6,101,0,0.3,0.587209302325581,0,1
"Himantura uarnak",TRUE,91,45.5,49,0,0.5,0.538461538461538,0,1
"Holohalaelurus regani",TRUE,1940,582,975,0,0.3,0.502577319587629,0,1
"Leucoraja wallacei",TRUE,1610,644,832,0,0.4,0.516770186335404,0,1
"Malacoraja spinacidermis",TRUE,635,190.5,310,0,0.3,0.488188976377953,0,1
"Mobula alfredi",TRUE,80,24,50,0,0.3,0.625,0,1
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,1
"Mobula kuhlii",TRUE,171,85.5,86,0,0.5,0.502923976608187,0,1
"Mustelus mustelus",TRUE,1503,751.5,784,0,0.5,0.521623419827013,0,1
"Mustelus palumbes",TRUE,1794,538.2,944,0,0.3,0.526198439241917,0,1
"Myliobatis aquila",TRUE,810,405,412,0,0.5,0.508641975308642,0,1
"Narke capensis",TRUE,340,102,181,0,0.3,0.532352941176471,0,1
"Neoraja stehmanni",TRUE,294,88.2,134,0,0.3,0.45578231292517,0,1
"Neotrygon caeruleopunctata",TRUE,25,7.5,12,0,0.3,0.48,0,1
"Notorynchus cepedianus",TRUE,712,213.6,439,0,0.3,0.616573033707865,0,1
"Pateobatis fai",TRUE,36,10.8,19,0,0.3,0.527777777777778,0,1
"Pateobatis jenkinsii",TRUE,226,67.8,102,0,0.3,0.451327433628319,0,1
"Pliotrema warreni",TRUE,893,267.9,416,0,0.3,0.465845464725644,0,1
"Poroderma africanum",TRUE,570,171,310,0,0.3,0.543859649122807,0,1
"Poroderma pantherinum",TRUE,527,158.1,265,0,0.3,0.502846299810247,0,1
"Raja ocellifera",TRUE,765,459,459,0,0.6,0.6,0,1
"Raja straeleni",TRUE,2131,639.3,1068,0,0.3,0.501173158141717,0,1
"Rajella barnardi",TRUE,640,192,345,0,0.3,0.5390625,0,1
"Rajella caudaspinosa",TRUE,887,266.1,494,0,0.3,0.556933483652762,0,1
"Rajella dissimilis",TRUE,689,206.7,310,0,0.3,0.449927431059507,0,1
"Rajella leoparda",TRUE,1292,387.6,713,0,0.3,0.551857585139319,0,1
"Rajella ravidula",TRUE,537,161.1,306,0,0.3,0.569832402234637,0,1
"Rhinoptera jayakari",TRUE,62,31,31,0,0.5,0.5,0,1
"Rhizoprionodon acutus",TRUE,77,23.1,35,0,0.3,0.454545454545455,0,1
"Rhynchobatus djiddensis",TRUE,149,74.5,86,0,0.5,0.577181208053691,0,1
"Rostroraja alba",TRUE,1778,889,892,0,0.5,0.501687289088864,0,1
"Scyliorhinus capensis",TRUE,1540,462,837,0,0.3,0.543506493506493,0,1
"Scylliogaleus quecketti",TRUE,24,12,12,0,0.5,0.5,0,1
"Sphyrna zygaena",TRUE,666,333,344,0,0.5,0.516516516516517,0,1
"Squalus acanthias",TRUE,2123,636.9,1062,0,0.3,0.500235515779557,0,1
