"feature","met","total_amount","absolute_target","absolute_held","absolute_shortfall","relative_target","relative_held","relative_shortfall","sol_n"
"Acroteriobatus annulatus",FALSE,1242,621,530,91,0.5,0.426731078904992,0.0732689210950081,1
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,1
"Aetobatus ocellatus",TRUE,188,56.4,94,0,0.3,0.5,0,1
"Aetomylaeus bovinus",FALSE,391,195.5,195,0.5,0.5,0.498721227621483,0.00127877237851662,1
"Apristurus saldanha",FALSE,735,220.5,201,19.5,0.3,0.273469387755102,0.026530612244898,1
"Bathyraja smithii",TRUE,738,221.4,232,0,0.3,0.314363143631436,0,1
"Bathytoshia lata",TRUE,933,279.9,412,0,0.3,0.441586280814577,0,1
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,1
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,1
"Carcharhinus amboinensis",TRUE,231,69.3,98,0,0.3,0.424242424242424,0,1
"Carcharhinus brachyurus",TRUE,1230,369,506,0,0.3,0.411382113821138,0,1
"Carcharhinus brevipinna",TRUE,247,74.1,109,0,0.3,0.441295546558704,0,1
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,1
"Carcharhinus limbatus",TRUE,330,99,163,0,0.3,0.493939393939394,0,1
"Carcharhinus obscurus",FALSE,707,353.5,352,1.5,0.5,0.497878359264498,0.00212164073550212,1
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,1
"Carcharias taurus",TRUE,552,276,276,0,0.5,0.5,0,1
"Centrophorus squamosus",FALSE,515,257.5,197,60.5,0.5,0.38252427184466,0.11747572815534,1
"Centroscymnus owstonii",TRUE,527,158.1,159,0,0.3,0.301707779886148,0,1
"Cruriraja parcomaculata",TRUE,1646,493.8,495,0,0.3,0.300729040097205,0,1
"Dipturus pullopunctatus",TRUE,1780,534,534,0,0.3,0.3,0,1
"Dipturus stenorhynchus",TRUE,600,180,209,0,0.3,0.348333333333333,0,1
"Etmopterus compagnoi",FALSE,741,222.3,194,28.3,0.3,0.261808367071525,0.038191632928475,1
"Etmopterus sculptus",TRUE,603,180.9,181,0,0.3,0.30016583747927,0,1
"Galeorhinus galeus",FALSE,1925,962.5,524,438.5,0.5,0.272207792207792,0.227792207792208,1
"Gymnura natalensis",TRUE,544,163.2,256,0,0.3,0.470588235294118,0,1
"Halaelurus lineatus",TRUE,148,44.4,67,0,0.3,0.452702702702703,0,1
"Halaelurus natalensis",TRUE,649,324.5,333,0,0.5,0.513097072419106,0,1
"Haploblepharus edwardsii",FALSE,687,412.2,376,36.2,0.6,0.547307132459971,0.0526928675400291,1
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,1
"Haploblepharus pictus",TRUE,332,99.6,123,0,0.3,0.370481927710843,0,1
"Himantura leoparda",TRUE,172,51.6,82,0,0.3,0.476744186046512,0,1
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,1
"Holohalaelurus regani",FALSE,1940,582,549,33,0.3,0.282989690721649,0.0170103092783505,1
"Leucoraja wallacei",FALSE,1610,644,502,142,0.4,0.311801242236025,0.0881987577639751,1
"Mobula alfredi",TRUE,80,24,47,0,0.3,0.5875,0,1
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,1
"Mobula kuhlii",TRUE,171,85.5,93,0,0.5,0.543859649122807,0,1
"Mustelus mustelus",FALSE,1503,751.5,541,210.5,0.5,0.359946773120426,0.140053226879574,1
"Mustelus palumbes",FALSE,1794,538.2,491,47.1999999999999,0.3,0.273690078037904,0.0263099219620958,1
"Myliobatis aquila",TRUE,810,405,405,0,0.5,0.5,0,1
"Narke capensis",TRUE,340,102,184,0,0.3,0.541176470588235,0,1
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,1
"Notorynchus cepedianus",TRUE,712,213.6,337,0,0.3,0.473314606741573,0,1
"Pateobatis fai",TRUE,36,10.8,17,0,0.3,0.472222222222222,0,1
"Pateobatis jenkinsii",TRUE,226,67.8,119,0,0.3,0.526548672566372,0,1
"Poroderma africanum",TRUE,570,171,286,0,0.3,0.501754385964912,0,1
"Poroderma pantherinum",TRUE,527,158.1,264,0,0.3,0.500948766603416,0,1
"Raja ocellifera",FALSE,765,459,396,63,0.6,0.517647058823529,0.0823529411764706,1
"Rajella caudaspinosa",FALSE,887,266.1,266,0.0999999999999659,0.3,0.29988726042841,0.00011273957158959,1
"Rhinoptera jayakari",TRUE,62,31,31,0,0.5,0.5,0,1
"Rhizoprionodon acutus",TRUE,77,23.1,33,0,0.3,0.428571428571429,0,1
"Rhynchobatus djiddensis",TRUE,149,74.5,76,0,0.5,0.51006711409396,0,1
"Rostroraja alba",FALSE,1778,889,485,404,0.5,0.272778402699663,0.227221597300337,1
"Scyliorhinus capensis",TRUE,1540,462,558,0,0.3,0.362337662337662,0,1
"Scylliogaleus quecketti",TRUE,24,12,12,0,0.5,0.5,0,1
"Sphyrna zygaena",TRUE,666,333,333,0,0.5,0.5,0,1
"Squalus acanthias",FALSE,2123,636.9,607,29.9,0.3,0.285916156382478,0.0140838436175224,1
"Squalus bassi",FALSE,1475,442.5,405,37.5,0.3,0.274576271186441,0.0254237288135593,1
"Stegostoma tigrinum",TRUE,100,30,44,0,0.3,0.44,0,1
"Taeniurops meyeni",TRUE,85,42.5,44,0,0.5,0.517647058823529,0,1
"Tetronarce cowleyi",TRUE,1623,486.9,572,0,0.3,0.352433764633395,0,1
"Triaenodon obesus",TRUE,27,8.1,16,0,0.3,0.592592592592593,0,1
"Triakis megalopterus",TRUE,569,170.7,211,0,0.3,0.370826010544815,0,1
"Sphyrna lewini",FALSE,669,200.7,145,55.7,0.3,0.216741405082212,0.0832585949177877,1
"Acroteriobatus annulatus",FALSE,1242,621,530,91,0.5,0.426731078904992,0.0732689210950081,2
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,2
"Aetobatus ocellatus",TRUE,188,56.4,94,0,0.3,0.5,0,2
"Aetomylaeus bovinus",FALSE,391,195.5,195,0.5,0.5,0.498721227621483,0.00127877237851662,2
"Apristurus saldanha",FALSE,735,220.5,201,19.5,0.3,0.273469387755102,0.026530612244898,2
"Bathyraja smithii",TRUE,738,221.4,232,0,0.3,0.314363143631436,0,2
"Bathytoshia lata",TRUE,933,279.9,412,0,0.3,0.441586280814577,0,2
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,2
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,2
"Carcharhinus amboinensis",TRUE,231,69.3,98,0,0.3,0.424242424242424,0,2
"Carcharhinus brachyurus",TRUE,1230,369,506,0,0.3,0.411382113821138,0,2
"Carcharhinus brevipinna",TRUE,247,74.1,109,0,0.3,0.441295546558704,0,2
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,2
"Carcharhinus limbatus",TRUE,330,99,163,0,0.3,0.493939393939394,0,2
"Carcharhinus obscurus",FALSE,707,353.5,352,1.5,0.5,0.497878359264498,0.00212164073550212,2
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,2
"Carcharias taurus",TRUE,552,276,276,0,0.5,0.5,0,2
"Centrophorus squamosus",FALSE,515,257.5,197,60.5,0.5,0.38252427184466,0.11747572815534,2
"Centroscymnus owstonii",TRUE,527,158.1,159,0,0.3,0.301707779886148,0,2
"Cruriraja parcomaculata",TRUE,1646,493.8,495,0,0.3,0.300729040097205,0,2
"Dipturus pullopunctatus",TRUE,1780,534,534,0,0.3,0.3,0,2
"Dipturus stenorhynchus",TRUE,600,180,209,0,0.3,0.348333333333333,0,2
"Etmopterus compagnoi",FALSE,741,222.3,194,28.3,0.3,0.261808367071525,0.038191632928475,2
"Etmopterus sculptus",TRUE,603,180.9,181,0,0.3,0.30016583747927,0,2
"Galeorhinus galeus",FALSE,1925,962.5,524,438.5,0.5,0.272207792207792,0.227792207792208,2
"Gymnura natalensis",TRUE,544,163.2,256,0,0.3,0.470588235294118,0,2
"Halaelurus lineatus",TRUE,148,44.4,67,0,0.3,0.452702702702703,0,2
"Halaelurus natalensis",TRUE,649,324.5,332,0,0.5,0.5115562403698,0,2
"Haploblepharus edwardsii",FALSE,687,412.2,376,36.2,0.6,0.547307132459971,0.0526928675400291,2
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,2
"Haploblepharus pictus",TRUE,332,99.6,123,0,0.3,0.370481927710843,0,2
"Himantura leoparda",TRUE,172,51.6,82,0,0.3,0.476744186046512,0,2
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,2
"Holohalaelurus regani",FALSE,1940,582,549,33,0.3,0.282989690721649,0.0170103092783505,2
"Leucoraja wallacei",FALSE,1610,644,502,142,0.4,0.311801242236025,0.0881987577639751,2
"Mobula alfredi",TRUE,80,24,47,0,0.3,0.5875,0,2
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,2
"Mobula kuhlii",TRUE,171,85.5,93,0,0.5,0.543859649122807,0,2
"Mustelus mustelus",FALSE,1503,751.5,541,210.5,0.5,0.359946773120426,0.140053226879574,2
"Mustelus palumbes",FALSE,1794,538.2,491,47.1999999999999,0.3,0.273690078037904,0.0263099219620958,2
"Myliobatis aquila",TRUE,810,405,405,0,0.5,0.5,0,2
"Narke capensis",TRUE,340,102,184,0,0.3,0.541176470588235,0,2
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,2
"Notorynchus cepedianus",TRUE,712,213.6,337,0,0.3,0.473314606741573,0,2
"Pateobatis fai",TRUE,36,10.8,17,0,0.3,0.472222222222222,0,2
"Pateobatis jenkinsii",TRUE,226,67.8,119,0,0.3,0.526548672566372,0,2
"Poroderma africanum",TRUE,570,171,286,0,0.3,0.501754385964912,0,2
"Poroderma pantherinum",TRUE,527,158.1,264,0,0.3,0.500948766603416,0,2
"Raja ocellifera",FALSE,765,459,396,63,0.6,0.517647058823529,0.0823529411764706,2
"Rajella caudaspinosa",FALSE,887,266.1,266,0.0999999999999659,0.3,0.29988726042841,0.00011273957158959,2
"Rhinoptera jayakari",TRUE,62,31,31,0,0.5,0.5,0,2
"Rhizoprionodon acutus",TRUE,77,23.1,33,0,0.3,0.428571428571429,0,2
"Rhynchobatus djiddensis",TRUE,149,74.5,76,0,0.5,0.51006711409396,0,2
"Rostroraja alba",FALSE,1778,889,485,404,0.5,0.272778402699663,0.227221597300337,2
"Scyliorhinus capensis",TRUE,1540,462,558,0,0.3,0.362337662337662,0,2
"Scylliogaleus quecketti",TRUE,24,12,12,0,0.5,0.5,0,2
"Sphyrna zygaena",TRUE,666,333,333,0,0.5,0.5,0,2
"Squalus acanthias",FALSE,2123,636.9,607,29.9,0.3,0.285916156382478,0.0140838436175224,2
"Squalus bassi",FALSE,1475,442.5,405,37.5,0.3,0.274576271186441,0.0254237288135593,2
"Stegostoma tigrinum",TRUE,100,30,44,0,0.3,0.44,0,2
"Taeniurops meyeni",TRUE,85,42.5,44,0,0.5,0.517647058823529,0,2
"Tetronarce cowleyi",TRUE,1623,486.9,572,0,0.3,0.352433764633395,0,2
"Triaenodon obesus",TRUE,27,8.1,16,0,0.3,0.592592592592593,0,2
"Triakis megalopterus",TRUE,569,170.7,211,0,0.3,0.370826010544815,0,2
"Sphyrna lewini",FALSE,669,200.7,145,55.7,0.3,0.216741405082212,0.0832585949177877,2
"Acroteriobatus annulatus",FALSE,1242,621,530,91,0.5,0.426731078904992,0.0732689210950081,3
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,3
"Aetobatus ocellatus",TRUE,188,56.4,94,0,0.3,0.5,0,3
"Aetomylaeus bovinus",FALSE,391,195.5,195,0.5,0.5,0.498721227621483,0.00127877237851662,3
"Apristurus saldanha",FALSE,735,220.5,201,19.5,0.3,0.273469387755102,0.026530612244898,3
"Bathyraja smithii",TRUE,738,221.4,232,0,0.3,0.314363143631436,0,3
"Bathytoshia lata",TRUE,933,279.9,412,0,0.3,0.441586280814577,0,3
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,3
"Carcharhinus amblyrhynchos",TRUE,23,11.5,19,0,0.5,0.826086956521739,0,3
"Carcharhinus amboinensis",TRUE,231,69.3,98,0,0.3,0.424242424242424,0,3
"Carcharhinus brachyurus",TRUE,1230,369,506,0,0.3,0.411382113821138,0,3
"Carcharhinus brevipinna",TRUE,247,74.1,109,0,0.3,0.441295546558704,0,3
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,3
"Carcharhinus limbatus",TRUE,330,99,163,0,0.3,0.493939393939394,0,3
"Carcharhinus obscurus",FALSE,707,353.5,352,1.5,0.5,0.497878359264498,0.00212164073550212,3
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,3
