LONGITUDE,LATITUDE,SPHYRNA.LEWINI_PA1_RUN1 logistic values
28.498024995,-32.712064719,0.27284715
34.798024995,-30.912064719,0.013244442
20.498024995,-35.412064719,0.028420035
25.298024995,-34.412064719,1.7427813E-6
16.398024995,-30.012064719,0.0
23.898024995,-36.712064719,0.0
30.598024995,-34.212064719,0.0
26.598024995,-35.812064719,0.0
29.898024995,-34.712064719,0.0
24.998024995,-35.412064719,0.0
18.698024995,-34.612064719,0.0
29.198024995,-35.512064719,0.0
33.398024995,-29.812064719,0.016351573
16.898024995,-32.112064719,0.19732729
20.298024995,-34.612064719,0.6818514
35.498024995,-27.812064719,0.14498839
35.098024995,-30.012064719,0.050256636
28.898024995,-33.212064719,1.0243561E-7
31.798024995,-30.512064719,0.008285669
30.398024995,-32.312064719,3.9730953E-8
16.098024995,-36.512064719,0.0
14.998024995,-30.212064719,0.0
15.398024995,-30.512064719,0.0
19.998024995,-35.012064719,0.030275522
17.598024995,-36.112064719,0.0
15.098024995,-29.812064719,0.0
25.098024995,-36.512064719,0.0
20.398024995,-36.112064719,0.0
24.498024995,-37.312064719,0.0
20.398024995,-37.612064719,0.0
14.298024995,-34.312064719,0.0
14.598024995,-33.412064719,0.0
35.998024995,-27.412064719,0.12471599
31.798024995,-29.012064719,0.5587398
33.298024995,-31.812064719,0.0
25.998024995,-34.012064719,0.030061666
17.598024995,-35.412064719,0.0
27.798024995,-34.512064719,0.0
29.198024995,-34.212064719,0.0
14.798024995,-35.912064719,0.0
17.298024995,-30.712064719,0.08269305
32.898024995,-32.112064719,0.0
19.398024995,-36.012064719,0.0
24.398024995,-36.012064719,0.0
30.798024995,-34.112064719,0.0
15.898024995,-31.512064719,0.0
30.298024995,-31.112064719,0.69479483
32.298024995,-29.612064719,0.32250872
33.198024995,-31.112064719,0.003495039
30.698024995,-35.312064719,0.0
27.698024995,-35.812064719,0.0
21.398024995,-37.312064719,0.0
31.798024995,-33.312064719,0.0
21.298024995,-35.012064719,0.02962294
21.698024995,-34.712064719,0.02990992
33.298024995,-28.112064719,0.20689297
28.198024995,-36.612064719,0.0
17.698024995,-31.812064719,0.60111004
26.098024995,-36.412064719,0.0
15.498024995,-35.812064719,0.0
29.198024995,-32.012064719,0.49792954
15.398024995,-29.612064719,0.012345751
15.498024995,-29.812064719,0.011930634
24.298024995,-37.312064719,0.0
33.798024995,-29.812064719,0.016925378
22.298024995,-36.212064719,0.0
14.598024995,-30.512064719,0.0
16.098024995,-29.912064719,0.037554253
17.398024995,-36.112064719,0.0
33.498024995,-28.212064719,0.20526187
29.598024995,-35.412064719,0.0
21.498024995,-37.712064719,0.0
35.498024995,-29.812064719,0.07648
22.698024995,-34.412064719,0.028683078
28.798024995,-34.312064719,0.0
35.198024995,-29.212064719,0.05653637
13.798024995,-31.312064719,0.0
29.098024995,-34.712064719,0.0
19.798024995,-35.412064719,0.0
26.698024995,-33.812064719,0.042430732
26.798024995,-35.912064719,0.0
14.098024995,-33.312064719,0.0
21.398024995,-37.812064719,0.0
34.198024995,-30.412064719,0.01310869
15.098024995,-31.712064719,0.0
