Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.69199E-9,0.000000369,0.00000004,0.411764706,0,0
9.51881E-9,0.000001321,0.000000102,0.4,0,0
1.61948E-7,0.000017516,0.000001743,0.388235294,0,0
3.25915E-4,0.032609016,0.003495039,0.376470588,0,0
7.76377E-4,0.110246735,0.008285669,0.364705882,0,0
1.12204E-3,0.222450619,0.011930634,0.352941176,0,0
1.16157E-3,0.338607345,0.012345751,0.341176471,0,0
1.2343E-3,0.462037644,0.013108691,0.329411765,0,0
1.24726E-3,0.586763326,0.013244442,0.317647059,0,0
1.54473E-3,0.741235921,0.016351573,0.305882353,0,0
1.59987E-3,0.901222541,0.016925377,0.294117647,0,0
2.71818E-3,1.173040324,0.028420036,0.282352941,0,0
2.74408E-3,1.447448216,0.028683078,0.270588235,0,0
2.83674E-3,1.731122146,0.029622939,0.258823529,0,0
2.86507E-3,2.017628986,0.029909921,0.247058824,0,0
2.88005E-3,2.305634435,0.030061665,0.235294118,0,0
2.90118E-3,2.595752697,0.030275521,0.223529412,0,0
3.62589E-3,2.958341715,0.037554251,0.211764706,0,0
4.05613E-3,3.31864189,0.041824017,0.2,0,0
4.91721E-3,3.861821026,0.050256638,0.188235294,0.011764706,0
5.56845E-3,4.418666305,0.056536369,0.176470588,0.011764706,0
7.41684E-3,5.087414074,0.07391587,0.164705882,0.011764706,0
8.37695E-3,6.025905481,0.082693047,0.152941176,0.023529412,0
1.32405E-2,7.349957164,0.124715989,0.141176471,0.023529412,0
1.57577E-2,8.925727887,0.144988394,0.129411765,0.035294118,0
2.28444E-2,11.21017139,0.19732728,0.117647059,0.035294118,0
2.40003E-2,13.61019783,0.20526187,0.105882353,0.035294118,0
2.42407E-2,16.034271099,0.206892974,0.094117647,0.035294118,0
3.48679E-2,19.521058594,0.272847137,0.082352941,0.035294118,0
4.42354E-2,23.944594428,0.322508721,0.070588235,0.035294118,0
9.21584E-2,33.160436577,0.497929545,0.058823529,0.035294118,0
1.17649E-1,44.919445602,0.558705851,0.047058824,0.035294118,0
1.40034E-1,58.930293355,0.601110058,0.035294118,0.047058824,0
1.99155E-1,78.845806697,0.681851394,0.023529412,0.047058824,0
2.11542E-1,100,0.69479482,0.011764706,0.047058824,0
7.44169E-1,100,0.888991088,0,0.047058824,0
1E0,100,0.914976006,0,0.058823529,0
