X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
32.686167,-27.561167,train,Infinity,100.0,NaN
30.76117,-30.37126,train,2.1531974623332485E206,100.0,1.0
25.86696,-33.98692,train,0.007416842370168916,5.087416390800326,0.07391587024312539
30.88533,-30.21876,train,1.511817642886601E211,100.0,1.0
32.87058,-27.14046,train,Infinity,100.0,NaN
32.083044,-28.804735,train,8.305469045284679E209,100.0,1.0
31.35793889,-29.37410833,train,Infinity,100.0,NaN
31.288007,-29.447709,train,Infinity,100.0,NaN
31.25428056,-29.49321111,train,Infinity,100.0,NaN
31.23198889,-29.52288611,train,Infinity,100.0,NaN
31.17899722,-29.58674167,train,Infinity,100.0,NaN
31.14098056,-29.64015,train,Infinity,100.0,NaN
31.12037222,-29.67531111,train,Infinity,100.0,NaN
31.040858,-29.812592,train,Infinity,100.0,NaN
31.01278056,-29.93743056,train,Infinity,100.0,NaN
30.89058333,-30.06164722,train,Infinity,100.0,NaN
30.87538056,-30.08084722,train,1.571240171277912E213,100.0,1.0
30.84254722,-30.14645,train,1.6510462870064105E213,100.0,1.0
30.65817222,-30.46564444,train,5.230330811575847E206,100.0,1.0
30.638175,-30.501425,train,5.627091620120022E208,100.0,1.0
30.58241667,-30.57777778,train,5.237473524259973E208,100.0,1.0
30.37898333,-30.86177778,train,1.0240601049082961E204,100.0,1.0
30.35292778,-30.89106389,train,9.975052818091973E203,100.0,1.0
30.31066389,-30.93923889,train,1.1537913427626847E203,100.0,1.0
30.24901389,-31.02476944,train,1.0124953434848788E204,100.0,1.0
30.2417,-31.0367,train,1.0383122482448472E204,100.0,1.0
28.791716,-32.339753,train,17444.671712010382,100.0,0.9999946731964305
28.657302,-32.459221,train,1873.641478777995,100.0,0.9999504066134683
31.063396,-29.852952,train,Infinity,100.0,NaN
22.146968,-34.179636,train,1798.890508386174,100.0,0.9999483459198012
28.250509,-32.764538,train,161.618786702044,100.0,0.9994253673178463
32.497015,-28.260262,train,Infinity,100.0,NaN
32.222526,-28.688391,train,1.004250815505144E209,100.0,1.0
27.852419,-33.065068,train,68.9239531013482,100.0,0.9986535926092998
22.387626,-34.055294,train,1749.169219975235,100.0,0.9999468776965124
21.882628,-34.342532,train,1895.0265834878505,100.0,0.99995096624032
23.060622,-34.082432,train,1457.7651215867386,100.0,0.9999362593396771
24.899057,-34.095163,train,17394.13384777775,100.0,0.9999946577197278
29.357047,-31.775799,train,0.013305614541548418,7.39071895814173,0.12525236085412667
31.061503,-29.873295,train,Infinity,100.0,NaN
23.378774,-34.056997,train,15564.447152974572,100.0,0.9999940297089364
29.851477,-31.423521,train,9.838381731201275E203,100.0,1.0
30.692968,-30.395774,train,5.582017565444128E208,100.0,1.0
20.087965,-34.811755,train,1873.6240178615487,100.0,0.9999504061513143
30.546465,-30.6276,train,5.157127513419349E206,100.0,1.0
31.771687,-28.961495,train,1.0435204986902023E63,100.0,1.0
28.116073,-32.833918,train,16667.09468163102,100.0,0.9999944246841921
32.428056,-28.377374,train,2.0647856543865658E215,100.0,1.0
32.461276,-28.320686,train,Infinity,100.0,NaN
28.166506,-32.790646,train,16309.127481789292,100.0,0.9999943023129114
28.525152,-32.584929,train,16832.496926105996,100.0,0.999994479468973
27.331988,-33.38164,train,17248.173526853458,100.0,0.9999946125116518
29.422423,-31.69218,train,1.0428049254576546,100.0,0.9181805057776631
20.068497,-34.746433,train,1747.9410138839974,100.0,0.999946840371644
32.624022,-27.724694,train,Infinity,100.0,NaN
19.746489,-34.770652,train,1769.597909911478,100.0,0.999947490921741
26.902446,-33.603535,train,15703.412150785143,100.0,0.9999940825418218
29.966406,-31.319948,train,1.0303674418402343E204,100.0,1.0
31.921876,-28.916869,train,3.7949115239550296E203,100.0,1.0
29.10923,-32.041157,train,1903.0318332615782,100.0,0.99995117249453
29.347703,-31.793184,train,0.11764862238976173,44.91927140750479,0.5587058507154464
28.342791,-32.708682,train,16310.241469377912,100.0,0.9999943027020606
29.82255,-31.434291,train,1.0289821539201538E58,100.0,1.0
18.867244,-34.159596,train,17021.134117208116,100.0,0.9999945406500773
25.325723,-34.002782,train,1.0057262264840872,100.0,0.9154191555145296
30.133353,-31.166669,train,1.0523083213314993E204,100.0,1.0
30.786333,-30.238834,train,2.8306677791947867E205,100.0,1.0
24.868572,-34.195199,train,1745.5863116591881,100.0,0.9999467686659763
28.388196,-32.681041,train,16536.653450984337,100.0,0.9999943807063116
29.087756,-32.079507,train,0.7441686248744849,100.0,0.8889910875646068
22.796009,-34.031777,train,1894.8140260783302,100.0,0.9999509607400557
25.636794,-33.962797,train,0.004056133633694868,3.318644182176382,0.04182401671429409
21.342174,-34.426772,train,15472.364089199698,100.0,0.9999939941772369
27.917349,-33.027484,train,1789.738055241017,100.0,0.999948081782263
24.934169,-34.008473,train,1868.2708480187325,100.0,0.999950264056772
24.840534,-34.196798,train,1786.3981900984022,100.0,0.9999479847205737
22.110415,-34.158279,train,16622.256129884252,100.0,0.9999944096448564
27.632991,-33.201813,train,68.59358712278146,100.0,0.9986471167062075
32.607295,-27.792124,train,Infinity,100.0,NaN
20.047181,-34.789043,train,1796.9595242364164,100.0,0.9999482904160176
31.64472,-29.083286,train,Infinity,100.0,NaN
25.671283,-33.983346,train,1882.469099967928,100.0,0.9999506391644409
27.04767,-33.540728,train,1459.114777848423,100.0,0.9999363182949452
30.47170874,-30.82431443,train,1.0548644932045234E203,100.0,1.0
19.25933,-34.422683,train,1894.169655983376,100.0,0.999950944058402
