Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.69706E-7,0.000046971,0.000003672,1,0,0
7.28064E-7,0.000119777,0.000005691,0.991525424,0,0
8.75854E-7,0.000282212,0.000006846,0.974576271,0,0
1.09366E-6,0.000588465,0.000008549,0.949152542,0,0
1.53948E-6,0.001125073,0.000012034,0.915254237,0,0
3.57359E-6,0.002784987,0.000027934,0.86440678,0,0
5.03248E-6,0.00537282,0.000039337,0.813559322,0,0
9.17391E-6,0.010388747,0.000071706,0.754237288,0,0
1.55225E-5,0.025418795,0.000121323,0.652542373,0,0
2.62636E-5,0.051417823,0.000205257,0.550847458,0,0
5.69802E-5,0.101334442,0.000445209,0.449152542,0,0
1.23357E-4,0.200453997,0.000963339,0.36440678,0,0
1.5413E-4,0.311634004,0.001203367,0.296610169,0,0
2.54198E-4,0.414321051,0.001983092,0.254237288,0,0
3.09596E-4,0.52871749,0.002414232,0.220338983,0,0
4.06938E-4,0.60782839,0.003170896,0.203389831,0,0
5.65141E-4,0.712054623,0.004398207,0.186440678,0,0
7.63269E-4,0.788381533,0.00593099,0.177966102,0,0
9.66511E-4,0.885032646,0.007498442,0.169491525,0,0
1.1785E-3,1.002883064,0.009128125,0.161016949,0.008474576,0
1.46771E-3,1.14965453,0.011342801,0.152542373,0.008474576,0
1.98404E-3,1.348059011,0.015272166,0.144067797,0.008474576,0
2.15068E-3,1.563126912,0.016533624,0.13559322,0.008474576,0
3.28926E-3,1.892052422,0.025067164,0.127118644,0.008474576,0
4.58246E-3,2.350298503,0.034581769,0.118644068,0.008474576,0
4.90531E-3,2.840829229,0.036928175,0.110169492,0.008474576,0
5.31908E-3,3.37273679,0.039918765,0.101694915,0.008474576,0
6.14698E-3,3.797174424,0.045847182,0.093220339,0.008474576,0
6.60803E-3,4.033539934,0.049117033,0.093220339,0.016949153,0
7.67522E-3,4.801062303,0.056600423,0.084745763,0.025423729,0
8.0834E-3,5.064629301,0.059431569,0.076271186,0.025423729,0
8.4817E-3,5.321822362,0.062177915,0.076271186,0.033898305,0
9.08165E-3,5.709227296,0.066284542,0.076271186,0.042372881,0
1.83585E-2,7.545074296,0.125496343,0.06779661,0.042372881,0
3.058E-2,10.603078308,0.192923706,0.059322034,0.042372881,0
6.06289E-2,16.665963913,0.321540788,0.050847458,0.042372881,0
6.41251E-2,21.026034961,0.333891882,0.042372881,0.042372881,0
6.59144E-2,23.257405289,0.340040493,0.042372881,0.050847458,0
6.87945E-2,23.844278189,0.349702567,0.033898305,0.050847458,0
8.02441E-2,26.177331655,0.385469145,0.033898305,0.059322034,0
1.13011E-1,32.854137636,0.469042722,0.033898305,0.06779661,0
1.22447E-1,34.776839309,0.489052609,0.033898305,0.076271186,0
1.24941E-1,35.285213772,0.494093728,0.033898305,0.101694915,0
1.26096E-1,35.520551538,0.496393843,0.033898305,0.118644068,0
1.27687E-1,35.844635466,0.499527316,0.033898305,0.127118644,0
1.29435E-1,36.200940887,0.502927633,0.033898305,0.13559322,0
1.31057E-1,38.236266796,0.506040723,0.025423729,0.13559322,0
1.31193E-1,38.406620477,0.506299516,0.025423729,0.144067797,0
1.3145E-1,38.728457763,0.506787697,0.025423729,0.152542373,0
1.40643E-1,50.265290785,0.523671641,0.025423729,0.161016949,0
1.46751E-1,55.661123949,0.534263261,0.016949153,0.161016949,0
1.49493E-1,58.082852396,0.538865305,0.016949153,0.169491525,0
1.53494E-1,61.617969207,0.545422178,0.016949153,0.177966102,0
1.58596E-1,66.124850106,0.553515881,0.016949153,0.194915254,0
3.38751E-1,100,0.725875452,0.008474576,0.194915254,0
3.60199E-1,100,0.737920245,0,0.203389831,0
4.56761E-1,100,0.781202769,0,0.211864407,0
5.8325E-1,100,0.820117692,0,0.220338983,0
5.96567E-1,100,0.823424173,0,0.228813559,0
5.99596E-1,100,0.824159204,0,0.237288136,0
6.02885E-1,100,0.8249507,0,0.245762712,0
7.16653E-1,100,0.848530335,0,0.254237288,0
8.28293E-1,100,0.866214588,0,0.262711864,0
8.39084E-1,100,0.867707544,0,0.271186441,0
8.60937E-1,100,0.870631127,0,0.279661017,0
8.61821E-1,100,0.870746647,0,0.288135593,0
8.70537E-1,100,0.871874962,0,0.296610169,0
8.71661E-1,100,0.872019005,0,0.305084746,0
8.75067E-1,100,0.872453595,0,0.313559322,0
8.82895E-1,100,0.873441364,0,0.322033898,0
9.9806E-1,100,0.886385689,0,0.330508475,0
1E0,100,0.886581081,0,0.338983051,0
