Predictor variable,Categorical,Sample average
DissolvedO2_max,false,251.5808854714418
DissolvedO2_mean,false,234.64559838710687
DissolvedO2_min,false,221.20526201297076
Salinity_Lt_max,false,35.540697733561196
Salinity_Lt_min,false,35.18049543331831
Salinity_max,false,35.6648830511631
Salinity_mean,false,35.381808256491645
Salinity_min,false,34.992987094781334
Salinity_range,false,0.6800473794723171
depth,false,-56.4482554388335
disttoestuary_all_km,false,17.38157266760484
sst_Lt_max,false,21.657288820315628
sst_Lt_min,false,16.192932691329567
sst_average,false,17.949864167433514
sst_max,false,22.027620462270885
sst_min,false,14.612525499784033
sst_range,false,7.4189925621717405
substrate_simplified,true,5.0
