LATITUDE,LONGITUDE,DATE,SPECIES_SCIENTIFIC,DATASET
-36.59999847,20.81669998,14/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-36.36000061,20.48999977,14/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-36.09999847,24.04999924,25/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.96670151,20.56669998,12/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.79999924,21.20000076,05/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.78329849,20.95000076,09/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.71670151,20.93330002,09/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.71670151,20.93330002,05/09/1992,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.70000076,20.93330002,14/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.68330002,20.7833004,09/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.66669846,20.33329964,14/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.66669846,20.35000038,14/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.66500092,20.33169937,14/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.63330078,20.83329964,29/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.58330154,20.83329964,06/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.58000183,20.34000015,12/09/1990,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.54999924,20.83329964,21/04/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.54999924,20.85000038,06/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.53329849,20.38330078,02/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.51670074,21.08329964,29/09/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.51670074,21.23329926,14/09/1991,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.5,20.98329926,12/06/1994,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
-35.5,21.06669998,06/09/1993,ACROTERIOBATUS ANNULATUS,GBIF_OBIS
