SPECIES_SCIENTIFIC,STATUS
ACROTERIOBATUS ANNULATUS,VU
ACROTERIOBATUS BLOCHII,LC
ACROTERIOBATUS LEUCOSPILUS,EN
ACROTERIOBATUS OCELLATUS,DD
AETOBATUS OCELLATUS,VU
AETOMYLAEUS BOVINUS,CR
ALOPIAS PELAGICUS,EN
ALOPIAS SUPERCILIOSUS,VU
ALOPIAS VULPINUS,VU
APRISTURUS MANIS,LC
APRISTURUS MICROPS,LC
APRISTURUS SALDANHA,LC
BATHYRAJA SMITHII,LC
BATHYTOSHIA BREVICAUDATA,LC
BATHYTOSHIA LATA,VU
CALLORHINCHUS CAPENSIS,LC
CARCHARHINUS ALBIMARGINATUS,VU
CARCHARHINUS ALTIMUS,NT
CARCHARHINUS AMBLYRHYNCHOS,EN
CARCHARHINUS AMBOINENSIS,VU
CARCHARHINUS BRACHYURUS,VU
CARCHARHINUS BREVIPINNA,VU
CARCHARHINUS FALCIFORMIS,VU
CARCHARHINUS HUMANI,DD
CARCHARHINUS LEUCAS,VU
CARCHARHINUS LIMBATUS,VU
CARCHARHINUS LONGIMANUS,CR
CARCHARHINUS OBSCURUS,EN
CARCHARHINUS PLUMBEUS,EN
CARCHARHINUS SORRAH,NT
CARCHARIAS TAURUS,CR
CARCHARODON CARCHARIAS,VU
CENTROPHORUS GRANULOSUS,EN
CENTROPHORUS MOLUCCENSIS,VU
CENTROPHORUS SQUAMOSUS,EN
CENTROPHORUS UYATO,EN
CENTROSCYLLIUM FABRICII,LC
CENTROSCYMNUS COELOLEPIS,NT
CENTROSCYMNUS OWSTONII,VU
CENTROSELACHUS CREPIDATER,NT
CEPHALOSCYLLIUM SUFFLANS,NT
CETORHINUS MAXIMUS,EN
CHIMAERA NOTAFRICANA,LC
CIRRHIGALEUS ASPER,DD
CRURIRAJA PARCOMACULATA,LC
DALATIAS LICHA,VU
DASYATIS CHRYSONOTA,NT
DEANIA HYSTRICOSA,DD
DEANIA PROFUNDORUM,NT
DEANIA QUADRISPINOSA,VU
DIPTURUS CAMPBELLI,NT
DIPTURUS DOUTREI,LC
DIPTURUS PULLOPUNCTATUS,LC
DIPTURUS SPRINGERI,LC
DIPTURUS STENORHYNCHUS,DD
ECHINORHINUS BRUCUS,EN
ELECTROLUX ADDISONI,LC
ETMOPTERUS ALPHUS,LC
ETMOPTERUS COMPAGNOI,LC
ETMOPTERUS GRANULOSUS,LC
ETMOPTERUS PUSILLUS,LC
ETMOPTERUS SCULPTUS,LC
EUPROTOMICRUS BISPINATUS,LC
GALEOCERDO CUVIER,NT
GALEORHINUS GALEUS,CR
GALEUS POLLI,VU
GYMNURA NATALENSIS,LC
HALAELURUS LINEATUS,LC
HALAELURUS NATALENSIS,VU
HAPLOBLEPHARUS EDWARDSII,EN
HAPLOBLEPHARUS FUSCUS,VU
HAPLOBLEPHARUS KISTNASAMYI,VU
HAPLOBLEPHARUS PICTUS,LC
HEMIPRISTIS ELONGATA,VU
HEPTRANCHIAS PERLO,NT
HETERONARCE GARMANI,NT
HEXANCHUS GRISEUS,NT
HEXATRYGON BICKELLI,LC
HIMANTURA LEOPARDA,VU
HIMANTURA UARNAK,EN
HOLOHALAELURUS FAVUS,EN
HOLOHALAELURUS PUNCTATUS,EN
HOLOHALAELURUS REGANI,LC
HYDROLAGUS AFRICANUS,LC
HYPOGALEUS HYUGAENSIS,LC
ISURUS OXYRINCHUS,EN
LAMNA NASUS,VU
LEUCORAJA COMPAGNOI,DD
LEUCORAJA WALLACEI,VU
LOXODON MACRORHINUS,NT
MALACORAJA SPINACIDERMIS,LC
MEGACHASMA PELAGIOS,LC
MITSUKURINA OWSTONI,LC
MOBULA ALFREDI,VU
MOBULA BIROSTRIS,EN
MOBULA EREGOODOO,EN
MOBULA KUHLII,EN
MOBULA MOBULAR,EN
MUSTELUS MOSIS,NT
MUSTELUS MUSTELUS,EN
MUSTELUS PALUMBES,LC
MYLIOBATIS AQUILA,CR
NARKE CAPENSIS,LC
NEGAPRION ACUTIDENS,EN
NEORAJA STEHMANNI,LC
NEOTRYGON CAERULEOPUNCTATA,LC
