"CUR_NME","CUR_ZON_TY","area_zone","area_total","percentage"
"Addo Elephant National Park","Controlled",513.056189235657,1127.09227999122,46
"Addo Elephant National Park","Restricted",614.036090755559,1127.09227999122,54
"Agulhas Bank Complex","Controlled",1540.99329631,4313.203030719,36
"Agulhas Bank Complex","Controlled-Pelagic Linefish with list",724.858082669,4313.203030719,17
"Agulhas Bank Complex","Restricted",2047.35165174,4313.203030719,47
"Agulhas Front","Restricted",6255.53796095,6255.53796095,100
"Agulhas Muds","Sanctuary",206.909601102,206.909601102,100
"Aliwal Shoal","Controlled",212.12766345187,678.134583374789,31
"Aliwal Shoal","Controlled-Pelagic Linefish with list",87.796246417,678.134583374789,13
"Aliwal Shoal","Restricted",378.210673505919,678.134583374789,56
"Amathole","Controlled",1266.791674993,4213.282551586,30
"Amathole","Controlled-Pelagic Linefish with list",560.728338883,4213.282551586,13
"Amathole","Restricted",2385.76253771,4213.282551586,57
"Benguela Muds","Controlled Large Pelagic",92.4871963697,92.4871963697,100
"Betty's Bay","Controlled",20.1384104577,20.1384104577,100
"Browns Bank Corals","Controlled Large Pelagic",339.4251463295,339.4251463295,100
"Cape Canyon","Restricted",583.320705251,583.320705251,100
"Childs Bank","Controlled Large Pelagic",1210.715308,1210.715308,100
"De Hoop","Restricted",288.874063694,288.874063694,100
"Dwesa-Cwebe","Controlled",8.85247902356,265.080842768882,3
"Dwesa-Cwebe","Restricted",256.228363745322,265.080842768882,97
"Goukamma","Controlled",0,0,NA
"Goukamma","Restricted",0,0,NA
"Helderberg","Restricted",2.39761064223,2.39761064223,100
"Hluleka","Restricted",40.8620451465,40.8620451465,100
"iSimangaliso","Controlled",17.382276287911,10710.5073069481,0
"iSimangaliso","Controlled Catch and Release",8.303891808551,10710.5073069481,0
"iSimangaliso","Controlled-Pelagic Linefish with list",5967.90772658,10710.5073069481,56
"iSimangaliso","Restricted",3203.76034062629,10710.5073069481,30
"iSimangaliso","Wilderness",1513.1530716453,10710.5073069481,14
"Jutten Island","Controlled",1.1148575825,1.1148575825,100
"Langebaan Lagoon","Controlled",18.5656801449,46.7207333081,40
"Langebaan Lagoon","Restricted",17.522301702,46.7207333081,38
"Langebaan Lagoon","Sanctuary",10.6327514612,46.7207333081,23
"Malgas Island","Controlled",0.660727732081,0.660727732081,100
"Marcus Island","Controlled",0.254953993498,0.254953993498,100
"Namaqua Fossil Forest","Controlled",498.224754165715,1043.6254140311,48
"Namaqua Fossil Forest","Restricted",545.400659865382,1043.6254140311,52
"Orange Shelf Edge","Sanctuary",1842.216037018,1842.216037018,100
"Pondoland","Controlled",642.83114713258,1237.14061645389,52
"Pondoland","Restricted",594.30946932131,1237.14061645389,48
"Port Elizabeth Corals","Controlled Large Pelagic",270.395841914,270.395841914,100
"Protea Banks","Controlled",275.491400922,1190.1209185257,23
"Protea Banks","Controlled-Pelagic Linefish with list",89.1692439977,1190.1209185257,7
"Protea Banks","Restricted",825.460273606,1190.1209185257,69
"Robben Island","Controlled",546.8265428831,612.2991042574,89
"Robben Island","Restricted",65.4725613743,612.2991042574,11
"Robberg","Controlled",26.1840278282,26.1840278282,100
"Rocherpan","Controlled",1.5,1.5,100
"Sardinia Bay","Restricted",12.9091187902,12.9091187902,100
"Sixteen Mile Beach","Controlled",106.911568106,106.911568106,100
"Southeast Atlantic Seamounts","Controlled Large Pelagic",4889.41388285,7725.15103811,63
"Southeast Atlantic Seamounts","Restricted",2835.73715526,7725.15103811,37
"Southwest Indian Seamounts","Restricted",7558.09914038,7558.09914038,100
"Stilbaai","Controlled",13.58255014451,34.881933456423,39
"Stilbaai","Restricted",21.299383311913,34.881933456423,61
"Table Mountain National Park","Controlled",906.031811513,955.856247935172,95
"Table Mountain National Park","Restricted",49.824436422172,955.856247935172,5
"Trafalgar","Controlled",8.29147540088,8.29147540088,100
"Tsitsikamma","Controlled",1.329552267914,293.658963907914,0
"Tsitsikamma","Restricted",292.32941164,293.658963907914,100
"uThukela","Controlled",3048.92086054247,4099.4396622647,74
"uThukela","Controlled-Pelagic Linefish with list",59.3975633429,4099.4396622647,1
"uThukela","Restricted",991.121238379328,4099.4396622647,24
"Walker Bay Whale Sanctuary","Restricted",63.7735708878,112.4869668414,57
"Walker Bay Whale Sanctuary","Sanctuary",48.7133959536,112.4869668414,43
